trial,value,colsample_bytree,learning_rate,max_depth,min_child_weight,nrounds,reg_lambda,subsample
0,0.82202568,0.7924936457617424,0.011173613622682885,6,6.078883634725348,1000,0.00781765740266306,0.7980002793308822
1,0.82321945,0.24203119338564572,0.03861088835521067,2,9.794525053220477,500,0.0053498573152342705,0.8505285055773234
2,0.82972610,0.6896360959123782,0.023602197167593306,8,1.5041390245845516,100,0.0015642860446036086,0.703679599693065
3,0.83064281,0.8041320762463198,0.017203876012400858,8,1.51534997749412,100,0.23842180279967873,0.8726153032910315
4,0.84075273,0.3093396640471087,0.0178780846930039,7,5.17056269524293,600,0.023315714890224576,0.7022093532617348
5,0.83208970,0.7021877250892585,0.06949551902705106,6,17.839641155328863,500,25.861913025657355,0.5076974518570301
6,0.88362715,0.35149851485064004,0.17276569928208635,5,14.830630515307272,900,0.809425504954156,0.8555890779658581
7,0.82821608,0.3696733986269304,0.04764801738743134,5,6.542367450566172,300,0.002739632204882871,0.6904580196947456
8,0.84857333,0.44249196328593765,0.07602399814840591,4,9.827955701403281,100,0.9654059383077606,0.5465883994171885
9,0.89339868,0.6928024629897676,0.27603765667537444,4,6.098575350314966,900,5.720751735531587,0.5187134304146941
10,0.85488715,0.30417736338649254,0.06383854995002897,5,18.755097234924484,1000,2.085315145661026,0.8824362382858286
11,0.88488505,0.6655224379062799,0.18186238295417126,7,10.883592985882164,600,0.3772786343912284,0.5914226984718982
12,0.83541433,0.5784174138944542,0.06352812752444659,4,12.977194684800807,600,0.0010563474810463152,0.8707545958915279
13,0.80425675,0.8315106240501187,0.026971513077085413,4,13.483818658413394,300,0.004251346713691728,0.5268209590883459
14,0.84294725,0.5160394733503071,0.06078741718388342,3,19.058850123364103,500,14.576305904000844,0.677035134138249
15,0.81294835,0.9662720936508877,0.010103958616565753,1,13.778414006492167,800,22.945603502571796,0.9593808092027569
16,0.79845512,0.9572676627531631,0.0327554528347054,1,11.388738127827562,400,0.018956702632742035,0.6080288672950493
17,0.81770050,0.9266425579901238,0.010166854658376735,1,11.200457198010353,300,0.016134415652434602,0.9773260244413355
18,0.80750584,0.9536090775957192,0.01041446385452703,1,14.618539295512617,300,0.03218362301328224,0.6021858363258513
19,0.80503040,0.9896568376228913,0.011899812664679604,1,13.665115683383139,300,0.034756736694146174,0.6077751050420391
20,0.79419220,0.9925943275163749,0.02891129989031292,1,10.564303802258449,300,0.031763587198656726,0.596119526740465
21,0.80417044,0.970145532075878,0.030802956792810917,2,16.440092673755938,300,0.02810547417559001,0.6159684537116809
22,0.80486545,0.8546349065086976,0.027374249455339884,2,16.404798867806164,300,0.016249589856055503,0.6209878040080743
23,0.80957900,0.8434621354254028,0.029389715154973718,2,16.425394530987052,400,0.10438119097858896,0.6225776600221883
24,0.81065422,0.8416352006654775,0.02904750872080221,3,16.57087579925176,400,0.1170531927279345,0.7692515153404379
25,0.81703375,0.872411103455867,0.0334419576703259,2,16.544245927510282,400,0.10577694659644381,0.7670275113951289
26,0.81322160,0.8526534613032812,0.03257013829272707,2,8.229995931069709,400,0.08887084200105175,0.5630580458419
27,0.80989308,0.8886094732878118,0.03797704709289982,2,8.085996932237489,400,0.0973527678699285,0.7602647456842948
28,0.80645171,0.9068282909491964,0.03937363587585319,2,8.291694294142948,200,0.09229864193979763,0.7427045235650568
29,0.79926246,0.912008076581235,0.018704116975734125,3,8.502134702210068,200,0.0781895324863309,0.6578467457884424
30,0.83604888,0.7593771240335059,0.0944915779730945,3,7.870998484087828,200,0.007106379235946329,0.5731675425733488
31,0.80484382,0.7820408211376415,0.01960347187469178,3,12.4220543154685,200,0.008887973064561848,0.6581269121785618
32,0.80353925,0.7670805269300822,0.019745867721789115,3,11.91408422729937,200,0.0065194984913134885,0.6527606569265916
33,0.79985004,0.9964498969741759,0.018250158075442124,3,12.002115992247191,200,0.008530781534096176,0.6502953832403503
34,0.83859352,0.7564692298495916,0.09532533533461778,3,11.6178137678376,200,0.009792138903882601,0.651563461069493
35,0.79783748,0.745717558413322,0.018819520575440223,3,4.38929657840085,200,0.013467431550625564,0.6603059668707475
36,0.80940231,0.984310213111541,0.01906929466744119,1,11.86734714045875,200,0.0427858143458041,0.6451730188627854
37,0.81695961,0.9968606784336913,0.013455056456772743,1,4.206333088543791,200,0.04409400571773448,0.6546840778819625
38,0.80681089,0.9977829676539857,0.02010656681733837,1,11.656527591544616,200,0.011504908931004743,0.658777672492543
39,0.84020648,0.9284472800929607,0.014997129731181691,1,9.603952153482627,100,0.054010764329340585,0.7236919322313442
40,0.83590631,0.9235383898144998,0.016303111048820554,1,9.825602067067996,100,0.0027617497428486853,0.5700597344651834
41,0.82022181,0.9233174101500939,0.015083573720424924,3,9.723715096072322,100,0.01161779015084128,0.7240233852364378
42,0.80706282,0.9149775552495111,0.023458284764292184,3,9.940550718318756,500,0.23252350269901326,0.579568356071823
43,0.80577131,0.9168705096861449,0.02278753210476195,3,9.737742233124104,100,0.20915774152082334,0.7137032999907952
44,0.81429592,0.8909769532844858,0.02231103967680084,3,4.0547968757735635,500,0.23338972424077165,0.8162732687085381
45,0.81496449,0.9046358062223712,0.02265029895829182,6,3.6852443437356337,500,0.34396046529654073,0.5455346659229529
46,0.81598702,0.6320367246684189,0.02344084614786786,4,2.272439850093,100,0.18770656346204662,0.7091472598925811
47,0.80839173,0.8865913438593,0.022978955019208554,4,3.343324278109743,500,0.22733680121473382,0.6910914163356444
48,0.81811728,0.633540700869365,0.04946105931892385,4,3.111078483957166,500,0.0036222476565180833,0.6825590441646311
49,0.81870750,0.8894084260236466,0.052115192298292715,5,4.481188676708664,500,0.003715907230803715,0.6928834342745888
