trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.86376799,9,0.1077320944751018,1500,0.979037888843309
1,0.80377964,29,0.9386958542005315,750,0.508116122117464
2,0.82915946,23,0.28398934731399306,1250,0.7318689523904756
3,0.80708533,12,0.8408467901780782,1500,0.9490777776852835
4,0.80422863,22,0.6612944561976772,1000,0.7102186434204087
5,0.80187415,8,0.8371747533963482,750,0.5151574976810046
6,0.88844524,20,0.055487135867289414,1000,0.9206135862575622
7,0.82255700,24,0.4441283235743801,250,0.42422746572341186
8,0.80114441,19,0.7855376138669693,500,0.46413475950393823
9,0.84695588,20,0.21238019595681523,250,0.6653906736070789
10,0.82791939,30,0.3188073561509898,1500,0.6339809183564903
11,0.80285729,14,0.9084044524100356,250,0.7350847054435905
12,0.82917699,22,0.29081226997726844,1000,0.7640994568341792
13,0.80311893,16,0.9832808305533142,1250,0.505611693672299
14,0.80655275,7,0.8663590537041811,500,0.9090117481256522
15,0.80557010,2,0.5373408507642924,500,0.8678770569680825
16,0.80063728,3,0.7260536347718209,750,0.5246149988761346
17,0.79785691,1,0.726891580763581,500,0.5225630264191722
18,0.80089163,3,0.7115489098609525,750,0.5464254061745775
19,0.80380183,1,0.7200647521875599,500,0.4044427283616533
20,0.79932706,1,0.721314157017058,750,0.5565135866100052
21,0.80380183,1,0.7208009812340886,500,0.40464431085282626
22,0.79949840,1,0.6789313144521153,750,0.5879939908898038
23,0.80047716,1,0.6942521470758153,750,0.6103164543645914
24,0.80376927,4,0.5684939539645256,750,0.5967108400247619
25,0.80111426,4,0.599762037989063,750,0.5871986141653437
26,0.80515376,5,0.563496300305796,750,0.576059661917076
27,0.80161666,5,0.6343602932402057,750,0.5641112925567319
28,0.80167233,5,0.62265383039804,750,0.5784301519895604
29,0.80341507,6,0.5799386923088903,1000,0.5751168634678783
30,0.80205662,6,0.6393089205850861,1000,0.6257682011749743
31,0.81163802,6,0.4429072112435704,1000,0.6520929081976262
32,0.81030819,6,0.439457280574958,1000,0.6594743312570992
33,0.81397712,7,0.44336551296627824,1000,0.4672108015745364
34,0.81200619,10,0.44860477527199216,500,0.4603570957132545
35,0.81342960,11,0.4414697701708895,500,0.4719991987819418
36,0.80009995,1,0.7650433769039334,1000,0.6362389427548779
37,0.80065700,1,0.7853779592753094,500,0.6185712864568302
38,0.80381577,1,0.5049260629411803,500,0.4764858103360938
39,0.80114896,1,0.7859304600747209,1250,0.6124828505591383
40,0.80238757,1,0.778240998351881,750,0.6908351436045657
41,0.80164532,1,0.7754321170143629,1250,0.6940049912647862
42,0.80259833,2,0.791325615270716,1250,0.7034794134146525
43,0.80259446,2,0.7718662966130369,1250,0.7033582125442217
44,0.80362358,3,0.6756614642257864,1250,0.7732274808478395
45,0.80454450,3,0.8323715877584222,1250,0.7824886151694815
46,0.80117766,3,0.6795407251526899,1250,0.5454083651714613
47,0.80142892,3,0.8752294778618073,750,0.5434035971156002
48,0.80676458,3,0.6743283373009006,250,0.5335552940951188
49,0.80831570,27,0.6768099152832722,250,0.5387474833076762
