trial,value,colsample_bytree,learning_rate,max_depth,min_child_weight,nrounds,reg_lambda,subsample
0,0.76358827,0.7312009471850125,0.04948684496047187,6,5.682528206156909,100,0.03498718699077206,0.6618439304346319
1,0.83132110,0.24347106506361113,0.09901779755809623,5,7.508429704797946,600,3.1549611908800386,0.6938571536673378
2,0.77627148,0.649117653688328,0.011115802756033239,6,13.187137467200337,700,0.9057664687189565,0.606348475231889
3,0.76849940,0.8398027631487108,0.023412241902692883,7,3.4592282593321833,900,0.05864688371133872,0.6544709716813619
4,0.87562845,0.20437066543909188,0.29862839090346155,1,18.296035364411885,200,0.18235328397052458,0.640162961331338
5,0.82972308,0.4691127029325688,0.08886114940500453,2,11.909556572314365,400,6.975058405220348,0.7485435833761706
6,0.77137697,0.7475564343686831,0.1338410347033094,2,7.303815436935142,500,0.0043597692291690695,0.6866497283415901
7,0.79118522,0.9637526378834127,0.018693013511257406,4,1.6978916625812364,400,0.007543688031353215,0.870436413812242
8,0.84092008,0.8493486557720278,0.1802892437713024,7,17.2444818561222,600,0.08863951063733534,0.8778711138458402
9,0.78349041,0.6005783789731465,0.014461463403786528,4,7.602108953262388,800,0.006343349667408117,0.841314463164706
10,0.79240044,0.3520705334383977,0.014538519602036544,5,6.9579489191242745,700,0.031810338810325856,0.8397427549121637
11,0.80125183,0.7789600538364438,0.1073702865253106,1,18.12832204798914,500,0.0011141933596396675,0.8258773440414857
12,0.78476530,0.8332820861709516,0.014742686688653193,4,14.89358559014453,200,5.5754256927499535,0.7537081900423089
13,0.77734973,0.436537629368855,0.04107522880641513,2,12.28830194439245,100,7.353522328024115,0.820175109674525
14,0.89257197,0.5329998813696819,0.2519242688853845,4,16.537468057877426,1000,0.2243829597124775,0.7524478794495296
15,0.79833738,0.9571918462508746,0.03346596565636275,8,1.3408178659156995,1000,39.28929195478912,0.5052726700324119
16,0.85085929,0.6458844815548896,0.21724846392270827,8,4.978790608814213,900,0.017255135878729174,0.5093911209121691
17,0.78277027,0.644767488909611,0.04573805926251082,7,5.809531717090466,300,0.004882275510934749,0.5075284106682465
18,0.78538772,0.6751304685933313,0.044542310002737305,7,3.1383394842408388,1000,0.0011546637361226615,0.5037029425898701
19,0.77398137,0.7237255729338551,0.045266537185347795,8,3.4275965489614757,1000,0.024043157734086506,0.5535901745117373
20,0.82893084,0.7332420485870724,0.045605710766739645,8,3.495068142375078,1000,39.26569666409128,0.9759430195758486
21,0.78136940,0.737075826676381,0.045355232713405094,3,9.377538285137978,100,0.0010814428320589588,0.9893331371659904
