trial,value,colsample_bytree,learning_rate,max_depth,min_child_weight,nrounds,reg_lambda,subsample
0,0.91835512,0.9190621437111772,0.19117199533015583,1,4.571099248889738,100,0.0013438005627240794,0.532587238226371
1,0.93738771,0.3040297663434151,0.093630661772618,4,2.041998429916341,1000,0.43523019951017033,0.5952845944353469
2,0.86323358,0.6445635301441351,0.014594441531011984,2,8.081716154462967,500,0.6070446611531979,0.6242801634399042
3,0.87645474,0.3280445715994045,0.014817173782048425,6,18.59995490092215,500,12.7252480651145,0.6096273814899476
4,0.94068239,0.923175811458254,0.22797754114304036,4,6.12426715332376,300,0.10570380074025446,0.6503389210610928
5,0.98014575,0.46432831944746655,0.24900062286506544,1,17.42490696832372,1000,0.022159022100007295,0.8829711732562363
6,0.97108820,0.795162504339529,0.2725801100801134,4,4.874348034647478,500,0.00581446849427466,0.5664090192444577
7,0.92260963,0.3159819960972377,0.07062070323171724,2,1.3411098314661976,1000,0.015211379908801717,0.648870198059145
8,0.97070561,0.3053401082121201,0.10060393716615981,7,5.579433157502481,600,0.06123804280816544,0.5565823122830272
9,0.86683630,0.5378344626780718,0.018961399354314394,6,19.206379712820546,300,20.024939529512196,0.8110108543562284
10,0.92294438,0.35235283902131975,0.13220869130529922,2,2.764518543758329,1000,0.0966479011334041,0.596376542080411
11,0.91148513,0.7835216625288564,0.04004381643831221,4,14.304740607038536,900,0.024287011921556186,0.5045566819463578
12,0.90012383,0.6266211022458028,0.2540405224338451,7,4.79336270009836,100,40.6785967081569,0.7222359520430182
13,0.93546171,0.7765488456421559,0.09501489816155227,8,1.9439774335956526,900,0.002192783918687312,0.5856009689278869
14,0.95829559,0.6140017656874348,0.09446732176972106,8,8.227775953440434,300,0.002301568587622635,0.5013185116557581
15,0.92378052,0.6671401446473095,0.03506459560765233,8,11.975925082530559,700,1.7879416230507785,0.9917783497239594
16,0.89897538,0.5889325579395732,0.01489756469496437,8,12.606754942195375,600,3.0437137356489816,0.827346921206374
17,0.88303481,0.6039461750506695,0.013895052632691137,8,12.574612714067733,300,3.762443704246772,0.8268628032084143
18,0.90028445,0.5980010506901421,0.014032987822921316,5,13.529509447356194,700,1.7826491155547315,0.8162809165100015
19,0.90358353,0.5471645036207989,0.011315256384009681,5,11.136458936722866,700,2.0475566572123687,0.847765585382069
20,0.93005003,0.4871494650589014,0.023918589007690345,5,10.253672433147816,700,1.4140714669784975,0.9890866334665797
21,0.92948739,0.49794512307527017,0.022720635925450313,5,11.301561416685884,700,0.9469899394073666,0.9908117455793298
22,0.92792075,0.5071750766371925,0.026243514437851508,5,8.99909550721683,400,0.7164818252651183,0.9909774721334792
23,0.90251597,0.47298938153734044,0.024740797542927764,3,9.608256258696771,400,0.5705129384900535,0.9775848212342387
24,0.92714777,0.20202114683397565,0.024897319332111513,3,15.841988821046492,400,0.48882854082902644,0.9914930257284642
25,0.91715807,0.21311492668798532,0.025850640641514048,6,15.82129594574177,200,25.69347990577618,0.7414541235357185
26,0.89710148,0.21823147774416463,0.022406546997946326,6,19.890630200169305,400,41.935840274907335,0.7550479983957215
27,0.89896460,0.21060089548762917,0.02056820336475195,6,19.537441867508818,400,24.185060174647962,0.7259528002178588
28,0.86423472,0.7064988053230825,0.0190350037916635,6,19.29603759852952,200,29.335393350519606,0.7433329012187685
29,0.90630920,0.3982566327360475,0.010079892726325299,6,19.747361498599844,200,15.21506331521889,0.7276600202473862
30,0.87667595,0.41631024724853083,0.018049580121764996,6,19.61124562321112,500,8.217810085366636,0.6968233639889715
31,0.86749687,0.40886303689032133,0.010076697366121795,6,18.18119824603573,500,9.66576035886082,0.6539450154113722
32,0.86502656,0.41604424538448537,0.01010864039448517,7,18.097260800312505,500,5.911187618721865,0.6536395313939376
33,0.86277509,0.7238084325739734,0.038894604403187816,7,17.35539183458309,200,5.888747394924486,0.6845253318407213
