trial,value,colsample_bytree,learning_rate,max_depth,min_child_weight,nrounds,reg_lambda,subsample
0,0.74446397,0.9764893891173696,0.015184969797979214,8,17.19574050562339,700,0.02182133844025485,0.9125014631015737
1,0.77416974,0.3766186697620193,0.053308524550796335,3,17.537588888378348,700,0.005553161142528328,0.5348262234472949
2,0.74580935,0.7068383426186045,0.210834234093955,2,1.797238412531179,200,0.0038948341869601897,0.862901763294923
3,0.80846159,0.4358870357110551,0.26147333624334806,6,5.555169534356594,500,0.030313234574650613,0.855248574828637
4,0.76372159,0.39187039094143894,0.07019687236736903,6,14.116813342670246,200,0.0322150151932289,0.5014524349935475
5,0.72721536,0.6529643008634325,0.017490432585989826,6,6.796839109996853,200,0.0010720111815867217,0.5533363723957737
6,0.73824534,0.8894658293715023,0.04915879563802515,3,13.626764249189126,200,0.8796158583427414,0.5870063249098563
7,0.80245867,0.4720536548962604,0.1511671934812413,7,17.74105206075436,400,0.004616193420539757,0.597121113983125
8,0.74413682,0.5216039795255254,0.04163598954307644,5,16.339702470753537,100,0.1947375841288342,0.5967835376608548
9,0.82138622,0.30110379818988986,0.2984643460642465,5,6.870564219668552,700,2.4407951860347454,0.7062624056649471
10,0.72954968,0.6647269868828314,0.013083207863017306,7,19.337674030918603,300,9.585143696447092,0.7536069477810747
11,0.73704351,0.7948423090347572,0.021191513845600946,4,3.3220453353967714,200,32.69812281112675,0.5859292470768716
12,0.73067116,0.6293042449699697,0.04348201678938273,3,8.964692567044626,900,38.978309300069164,0.6261233815547229
13,0.71573836,0.9917341254812764,0.0389601764560321,8,1.542205911674045,900,0.014624088932393763,0.5625183812580806
14,0.72751887,0.8826647560549974,0.04601087769620158,5,14.138446216258513,100,32.622549010905395,0.9464011763703031
15,0.71592423,0.9782549519922454,0.01366147463103086,1,9.591876089803957,1000,42.62487521724948,0.9795974751964722
16,0.78599096,0.9701788768143,0.01601746723443658,8,10.803491939245292,100,32.67671684753465,0.9955857458718212
17,0.74073752,0.9761508585432992,0.018493875763575446,8,9.40593672533046,1000,0.25202656891599445,0.9708438522776243
18,0.72427043,0.9903921614356583,0.01073937261447617,1,9.101298018681737,1000,0.20752904102891476,0.9867868101191821
19,0.70894460,0.5904701322402077,0.024216965035982838,1,9.209076335952602,1000,0.0012507557462064073,0.7059993712560835
20,0.76515190,0.23146996230135908,0.024597514101913555,2,10.064473969233383,1000,0.001182067690551901,0.7059538365284784
21,0.73061956,0.23734637519393947,0.02710621170100617,1,10.804800252755067,1000,0.3876135374027045,0.7788660177643741
22,0.73075640,0.22646286567493462,0.026877808997092027,1,10.525183142925917,1000,0.23088356594841342,0.762964930922452
23,0.72612749,0.2618524389044828,0.027129020069567474,1,11.375939880499418,1000,2.4298211292867125,0.7726106927003651
24,0.73196757,0.5549302531376504,0.027711843250699295,2,11.675071177033463,900,3.760463281698294,0.7091104498990078
25,0.74382278,0.539955649324244,0.10500541512918182,2,4.862942924098061,800,3.466090395609544,0.6934846194973894
26,0.72445251,0.8351502851467689,0.010949366608807182,2,8.630579820120603,900,0.06634527564308139,0.9817723159221037
27,0.71898397,0.8387221646502412,0.010516589299521652,2,8.085584860831293,800,6.877768163952347,0.9860718651454803
28,0.72602555,0.7991288804128,0.010364570017125771,1,8.17532922298308,800,0.08646421452599796,0.997202208139278
29,0.72520987,0.8250737738815318,0.010074478968303283,1,8.560568164882064,900,0.07926984224309595,0.988270157401976
30,0.71720485,0.8913961081210338,0.013835970110826185,1,8.645029195944984,900,0.8532630274850049,0.9327337104958155
31,0.71622865,0.8985130988697979,0.019797020280757964,2,12.703455799165454,900,10.499473839516295,0.8745654365760096
32,0.71403182,0.9049664709436306,0.01967198719513475,2,12.999713568008415,800,12.841706873146823,0.8820918008645432
33,0.72995754,0.7358496958804489,0.01924465626999417,3,12.739203554160458,600,9.423545267961813,0.8794157656589656
34,0.73334057,0.934471510812565,0.019104269308929406,3,12.542083074161543,600,0.011910611933440528,0.8932401850044623
35,0.73953287,0.7330408330375053,0.03564646737215712,3,12.527929261683713,600,10.064491078639179,0.8768211618137727
36,0.72772181,0.9435619236436271,0.020515305847057717,3,12.713992307997813,800,12.471626843314109,0.8699835724307402
37,0.73576932,0.9427412608260471,0.03386169077300226,3,15.405961411392322,800,13.471438636982455,0.8210420129527316
38,0.74408108,0.9491963534935929,0.033030296384700814,4,15.322412339339818,800,0.002240722268961628,0.8332984721120533
39,0.75079474,0.9969463801378609,0.034634299785782016,8,15.72573796423908,800,0.0030391169426131036,0.8090394670740637
40,0.72224922,0.9524221816014509,0.06700129533637439,4,1.2747142558366715,700,0.0023143953557251493,0.8199902369794337
41,0.74650712,0.9969318982646884,0.07875545516814557,8,1.0809638024430561,700,0.01408310346761922,0.8280503092920353
42,0.72940863,0.9863453714296211,0.06252411409930961,8,2.315925550637286,700,0.002143312254050081,0.6521070243981018
43,0.74462927,0.34541205650661866,0.059231225544226336,4,1.6592544799697801,700,0.00232781271724929,0.6654474873517277
44,0.76750625,0.35175813277037726,0.06629857546174321,7,2.7404305752345195,900,0.010168851223206127,0.6600642970452023
45,0.75982501,0.35814517579235716,0.057393587531998067,7,2.3530404349001506,700,0.010329351173776112,0.6580563365812622
46,0.70819363,0.9997089145272406,0.014323393183867618,2,3.114513357319329,900,0.01470851674821083,0.5403297159184794
47,0.71498990,0.8890057008802292,0.014313828188040804,2,5.372720373576283,900,18.97587537951436,0.9123095623867452
48,0.71492847,0.897407778253532,0.014507867843722261,2,6.553018882667387,900,0.006989582893771319,0.5055859227491122
49,0.70799739,0.8873647749860071,0.015098214964472815,2,6.76767261828295,900,18.056940495014782,0.5093746584072786
