model,response,n_predictors,n_pairs,RMSE,MAE,R2
M2_24m,uWUE,421,414,1.02148116009945,0.716103111571338,0.138507349240804
M3_12m,uWUE,164,414,1.0634297435036,0.770961022692276,0.0662976302682405
M3_24m,uWUE,307,414,1.05664550982971,0.762139558388509,0.0781728848764828
M4_12m,uWUE,299,414,1.04155449128255,0.729809709115729,0.104315937109604
M4_24m,uWUE,442,414,1.03262565856556,0.7252942237093,0.119606800735307
M5_raw_12m,uWUE,144,414,0.870369626103187,0.588670601644259,0.374541774586391
M5_raw_24m,uWUE,288,414,0.854502050518523,0.570250241046459,0.39713916148761
M5_anom_12m,uWUE,144,414,1.03730806286214,0.744206180758114,0.11160447539123
M5_anom_24m,uWUE,288,414,1.03512613577264,0.742933662013895,0.115337938285387
M6_raw_12m,uWUE,279,414,0.922600795792006,0.617120042412986,0.297221438738717
M6_raw_24m,uWUE,423,414,0.878250890036053,0.576327314578384,0.363163345791937
M6_anom_12m,uWUE,279,414,1.0240702197537,0.714524932322307,0.134134713458155
M6_anom_24m,uWUE,423,414,1.02719194862397,0.720253120138695,0.128847739076292
M7_raw_12m,uWUE,165,414,0.910801311999528,0.623366481514076,0.31508267804423
M7_raw_24m,uWUE,309,414,0.870229082394925,0.586769807421345,0.374743751122613
M7_anom_12m,uWUE,165,414,1.05941140327421,0.767625561057674,0.0733405875956401
M7_anom_24m,uWUE,309,414,1.05549208235749,0.761802192587574,0.0801843076006451
M8_raw_12m,uWUE,300,414,0.931690686456439,0.620859440795539,0.283305019049977
M8_raw_24m,uWUE,444,414,0.889171009343749,0.583833503153112,0.347228110884671
M8_anom_12m,uWUE,300,414,1.03738416827752,0.725344718775226,0.11147411066524
M8_anom_24m,uWUE,444,414,1.03791618228722,0.728857105908429,0.110562530466031
M1_12m,WUE,143,414,1.09639165259024,0.770755820485975,0.204507529299701
M1_24m,WUE,286,414,1.09699107078355,0.772979119292342,0.203637469763585
M2_12m,WUE,278,414,1.11007493428331,0.744437440285453,0.184527677818251
M2_24m,WUE,421,414,1.0987913173253,0.741737561537305,0.20102154098681
M3_12m,WUE,164,414,1.10480154659326,0.766787637661092,0.192257043334672
M3_24m,WUE,307,414,1.11471381382862,0.778851528132844,0.177697901069356
M4_12m,WUE,299,414,1.1128646613058,0.7448710816711,0.180423803957233
M4_24m,WUE,442,414,1.11473700220115,0.751712580055821,0.177663689515695
M5_raw_12m,WUE,144,414,0.922829934733943,0.617051574756157,0.436429852770195
M5_raw_24m,WUE,288,414,0.904312487233524,0.603664422113473,0.458820062196348
M5_anom_12m,WUE,144,414,1.09046471226955,0.765213481995119,0.21308492500384
M5_anom_24m,WUE,288,414,1.09783438103004,0.768865895798168,0.202412594123518
M6_raw_12m,WUE,279,414,0.986520824416221,0.641336596722673,0.35595361476219
M6_raw_24m,WUE,423,414,0.939339839530036,0.607849362921653,0.416084347736745
M6_anom_12m,WUE,279,414,1.10031736096662,0.739639362032827,0.198800695833788
M6_anom_24m,WUE,423,414,1.10219240302268,0.748449343956935,0.196067734494336
M7_raw_12m,WUE,165,414,0.951249896800057,0.63352486265718,0.401183335259736
M7_raw_24m,WUE,309,414,0.919891219457577,0.611889070554257,0.440013471227794
M7_anom_12m,WUE,165,414,1.10817416182199,0.771331452497599,0.187317940412993
M7_anom_24m,WUE,309,414,1.11833497558572,0.780078527662682,0.172346706159491
M8_raw_12m,WUE,300,414,0.992409140438865,0.643728655356626,0.348242340181787
M8_raw_24m,WUE,444,414,0.953248682207508,0.616565610904565,0.398664200179167
M8_anom_12m,WUE,300,414,1.10895266155578,0.74401306758004,0.186175710216218
M8_anom_24m,WUE,444,414,1.12320071354991,0.757880830546935,0.165129003153823
