response,mtry_frac,mtry,min_node,ntrees,cv_rmse,n_pred
GPPsat,0.2,81,3,500,5.33576290486875,408
GPPsat,0.2,81,3,1000,5.32643419658109,408
GPPsat,0.2,81,5,500,5.3534543454667,408
GPPsat,0.2,81,5,1000,5.32661595380888,408
GPPsat,0.2,81,10,500,5.31763597572653,408
GPPsat,0.2,81,10,1000,5.31700950272036,408
GPPsat,0.33,134,3,500,5.05912277438013,408
GPPsat,0.33,134,3,1000,5.040443777123,408
GPPsat,0.33,134,5,500,5.04929973146734,408
GPPsat,0.33,134,5,1000,5.04093301667833,408
GPPsat,0.33,134,10,500,5.04956276013826,408
GPPsat,0.33,134,10,1000,5.04165226824076,408
GPPsat,0.5,204,3,500,4.82961642750091,408
GPPsat,0.5,204,3,1000,4.82832511606737,408
GPPsat,0.5,204,5,500,4.82202212003236,408
GPPsat,0.5,204,5,1000,4.82556181961761,408
GPPsat,0.5,204,10,500,4.83409753890339,408
GPPsat,0.5,204,10,1000,4.83287370613743,408
GPPsat,0.7,285,3,500,4.75024806187266,408
GPPsat,0.7,285,3,1000,4.75726158837127,408
GPPsat,0.7,285,5,500,4.75022339390195,408
GPPsat,0.7,285,5,1000,4.74940112368419,408
GPPsat,0.7,285,10,500,4.74874086786262,408
GPPsat,0.7,285,10,1000,4.74388077097141,408
GPPsat,1,408,3,500,4.76950528499609,408
GPPsat,1,408,3,1000,4.76930838181199,408
GPPsat,1,408,5,500,4.76413153806711,408
GPPsat,1,408,5,1000,4.76300066859175,408
GPPsat,1,408,10,500,4.76517773421984,408
GPPsat,1,408,10,1000,4.76532855072548,408
NEPmax,0.2,81,3,500,5.57367409179812,408
NEPmax,0.2,81,3,1000,5.62248711640197,408
NEPmax,0.2,81,5,500,5.58250084963327,408
NEPmax,0.2,81,5,1000,5.62068357493813,408
NEPmax,0.2,81,10,500,5.59883211935607,408
NEPmax,0.2,81,10,1000,5.63024527558954,408
NEPmax,0.33,134,3,500,5.34250860301963,408
NEPmax,0.33,134,3,1000,5.35531177611517,408
NEPmax,0.33,134,5,500,5.32297608335795,408
NEPmax,0.33,134,5,1000,5.35291401744329,408
NEPmax,0.33,134,10,500,5.31477494024072,408
NEPmax,0.33,134,10,1000,5.33752734041095,408
NEPmax,0.5,204,3,500,5.0797127017605,408
NEPmax,0.5,204,3,1000,5.05700519267877,408
NEPmax,0.5,204,5,500,5.07509167238038,408
NEPmax,0.5,204,5,1000,5.05770717972861,408
NEPmax,0.5,204,10,500,5.07559720639844,408
NEPmax,0.5,204,10,1000,5.05658552321463,408
NEPmax,0.7,285,3,500,4.9277590585902,408
NEPmax,0.7,285,3,1000,4.91934598217235,408
NEPmax,0.7,285,5,500,4.92428305668941,408
NEPmax,0.7,285,5,1000,4.91549906100716,408
NEPmax,0.7,285,10,500,4.91636179050341,408
NEPmax,0.7,285,10,1000,4.9129938964661,408
NEPmax,1,408,3,500,4.93077003722917,408
NEPmax,1,408,3,1000,4.93606175385111,408
NEPmax,1,408,5,500,4.93121134490837,408
NEPmax,1,408,5,1000,4.93650847681025,408
NEPmax,1,408,10,500,4.92360078420736,408
NEPmax,1,408,10,1000,4.93171925649259,408
ETmax,0.2,81,3,500,0.0440710002979568,408
ETmax,0.2,81,3,1000,0.0438760556155709,408
ETmax,0.2,81,5,500,0.0440826168648288,408
ETmax,0.2,81,5,1000,0.0438350869819157,408
ETmax,0.2,81,10,500,0.0440860230160284,408
ETmax,0.2,81,10,1000,0.0438259623181231,408
ETmax,0.33,134,3,500,0.041602588719329,408
ETmax,0.33,134,3,1000,0.0415541651827986,408
ETmax,0.33,134,5,500,0.0415028103581225,408
ETmax,0.33,134,5,1000,0.0415171926106254,408
ETmax,0.33,134,10,500,0.0417153596674121,408
ETmax,0.33,134,10,1000,0.041648348065714,408
ETmax,0.5,204,3,500,0.0399529386732868,408
ETmax,0.5,204,3,1000,0.0397717432466377,408
ETmax,0.5,204,5,500,0.0398621478017794,408
ETmax,0.5,204,5,1000,0.0397753564367161,408
ETmax,0.5,204,10,500,0.0399375601572266,408
ETmax,0.5,204,10,1000,0.0398227093969313,408
ETmax,0.7,285,3,500,0.0389539226021217,408
ETmax,0.7,285,3,1000,0.0388231902006774,408
ETmax,0.7,285,5,500,0.0390316914645123,408
ETmax,0.7,285,5,1000,0.038844128814751,408
ETmax,0.7,285,10,500,0.0390296731137462,408
ETmax,0.7,285,10,1000,0.0388761105681068,408
ETmax,1,408,3,500,0.0385623787936556,408
ETmax,1,408,3,1000,0.0385634965325137,408
ETmax,1,408,5,500,0.0385930301321721,408
ETmax,1,408,5,1000,0.0385674054240169,408
ETmax,1,408,10,500,0.0385321769864359,408
ETmax,1,408,10,1000,0.0385300929099484,408
uWUE,0.2,81,3,500,0.69437882116788,408
uWUE,0.2,81,3,1000,0.693982596834692,408
uWUE,0.2,81,5,500,0.693856353054553,408
uWUE,0.2,81,5,1000,0.692071355632351,408
uWUE,0.2,81,10,500,0.695274420395883,408
uWUE,0.2,81,10,1000,0.6932151588084,408
uWUE,0.33,134,3,500,0.665146014120891,408
uWUE,0.33,134,3,1000,0.663740729591272,408
uWUE,0.33,134,5,500,0.665460286644898,408
uWUE,0.33,134,5,1000,0.662565165260206,408
uWUE,0.33,134,10,500,0.664528968334215,408
uWUE,0.33,134,10,1000,0.661813300235677,408
uWUE,0.5,204,3,500,0.636683440852495,408
uWUE,0.5,204,3,1000,0.63750470601302,408
uWUE,0.5,204,5,500,0.637501673983437,408
uWUE,0.5,204,5,1000,0.638194625457136,408
uWUE,0.5,204,10,500,0.63865189394887,408
uWUE,0.5,204,10,1000,0.638208609971862,408
uWUE,0.7,285,3,500,0.62524331888212,408
uWUE,0.7,285,3,1000,0.624454005519407,408
uWUE,0.7,285,5,500,0.62625892169433,408
uWUE,0.7,285,5,1000,0.625525137906774,408
uWUE,0.7,285,10,500,0.625719292497149,408
uWUE,0.7,285,10,1000,0.624376500192754,408
uWUE,1,408,3,500,0.618952727329611,408
uWUE,1,408,3,1000,0.617987883152884,408
uWUE,1,408,5,500,0.61813532115497,408
uWUE,1,408,5,1000,0.616724866122604,408
uWUE,1,408,10,500,0.618996422035267,408
uWUE,1,408,10,1000,0.616531530659742,408
WUE,0.2,81,3,500,0.713219967488583,408
WUE,0.2,81,3,1000,0.71261394683121,408
WUE,0.2,81,5,500,0.713681019374555,408
WUE,0.2,81,5,1000,0.712433821661446,408
WUE,0.2,81,10,500,0.715211616789303,408
WUE,0.2,81,10,1000,0.71341966513071,408
WUE,0.33,134,3,500,0.682861925887752,408
WUE,0.33,134,3,1000,0.682023105798788,408
WUE,0.33,134,5,500,0.684088519581687,408
WUE,0.33,134,5,1000,0.682407527717191,408
WUE,0.33,134,10,500,0.682102224495286,408
WUE,0.33,134,10,1000,0.681641059409806,408
WUE,0.5,204,3,500,0.667942186415351,408
WUE,0.5,204,3,1000,0.665028868884489,408
WUE,0.5,204,5,500,0.667485849512146,408
WUE,0.5,204,5,1000,0.665462644336699,408
WUE,0.5,204,10,500,0.666139945379218,408
WUE,0.5,204,10,1000,0.664384841599456,408
WUE,0.7,285,3,500,0.664893488473046,408
WUE,0.7,285,3,1000,0.662296000708145,408
WUE,0.7,285,5,500,0.665346725451608,408
WUE,0.7,285,5,1000,0.663115900120685,408
WUE,0.7,285,10,500,0.664662798432622,408
WUE,0.7,285,10,1000,0.662649970134602,408
WUE,1,408,3,500,0.673271903524629,408
WUE,1,408,3,1000,0.671798243265399,408
WUE,1,408,5,500,0.671694084997034,408
WUE,1,408,5,1000,0.670628017989477,408
WUE,1,408,10,500,0.671749774797928,408
WUE,1,408,10,1000,0.670826358698282,408
