response,mtry_frac,mtry,min_node,ntrees,cv_rmse,n_pred
uWUE,0.5,222,10,500,0.696471864362321,444
uWUE,0.5,222,10,1000,0.697123053489116,444
uWUE,0.7,310,3,500,0.690269446941766,444
uWUE,0.7,310,3,1000,0.689311727489336,444
uWUE,0.7,310,5,500,0.689651342362864,444
uWUE,0.7,310,5,1000,0.688537028095629,444
uWUE,0.7,310,10,500,0.687443920689527,444
uWUE,0.7,310,10,1000,0.688182960533709,444
uWUE,1,444,3,500,0.688797976242465,444
uWUE,1,444,3,1000,0.68922135458507,444
uWUE,1,444,5,500,0.689086863410101,444
uWUE,1,444,5,1000,0.688843489736281,444
uWUE,1,444,10,500,0.687447743834728,444
uWUE,1,444,10,1000,0.687924854875384,444
WUE,0.2,88,3,500,0.834670069433814,444
WUE,0.2,88,3,1000,0.838507319208342,444
WUE,0.2,88,5,500,0.834530627680137,444
WUE,0.2,88,5,1000,0.839395104457121,444
WUE,0.2,88,10,500,0.833466412871616,444
WUE,0.2,88,10,1000,0.840550267059636,444
WUE,0.33,146,3,500,0.775588783887863,444
WUE,0.33,146,3,1000,0.775711725872429,444
WUE,0.33,146,5,500,0.773706670488628,444
WUE,0.33,146,5,1000,0.775205661516918,444
WUE,0.33,146,10,500,0.774411797165036,444
WUE,0.33,146,10,1000,0.777083022922471,444
WUE,0.5,222,3,500,0.740090919220786,444
WUE,0.5,222,3,1000,0.738926641876414,444
WUE,0.5,222,5,500,0.738886422314451,444
WUE,0.5,222,5,1000,0.739354966643659,444
WUE,0.5,222,10,500,0.739028465858639,444
WUE,0.5,222,10,1000,0.739616315425912,444
WUE,0.7,310,3,500,0.729449429761225,444
WUE,0.7,310,3,1000,0.729219566214062,444
WUE,0.7,310,5,500,0.728218997477582,444
WUE,0.7,310,5,1000,0.727790896300631,444
WUE,0.7,310,10,500,0.729048623875632,444
WUE,0.7,310,10,1000,0.728292756334561,444
WUE,1,444,3,500,0.728616521353802,444
WUE,1,444,3,1000,0.728642034719468,444
WUE,1,444,5,500,0.727618944031519,444
WUE,1,444,5,1000,0.728169262913762,444
WUE,1,444,10,500,0.728022882804579,444
WUE,1,444,10,1000,0.728121295416767,444
