response,mtry_frac,mtry,min_node,ntrees,cv_rmse,n_pred
GPPsat,0.2,81,3,500,5.96176530799476,408
GPPsat,0.2,81,3,1000,5.94260651167918,408
GPPsat,0.2,81,5,500,5.98728168626206,408
GPPsat,0.2,81,5,1000,5.95264917601934,408
GPPsat,0.2,81,10,500,6.00296884434828,408
GPPsat,0.2,81,10,1000,5.96614427544991,408
GPPsat,0.33,134,3,500,5.53140082992999,408
GPPsat,0.33,134,3,1000,5.51203398630149,408
GPPsat,0.33,134,5,500,5.52140834796872,408
GPPsat,0.33,134,5,1000,5.5084816774836,408
GPPsat,0.33,134,10,500,5.52499085780975,408
GPPsat,0.33,134,10,1000,5.51121456410995,408
GPPsat,0.5,204,3,500,5.20032229519402,408
GPPsat,0.5,204,3,1000,5.18816122159204,408
GPPsat,0.5,204,5,500,5.18772255404446,408
GPPsat,0.5,204,5,1000,5.18264710007504,408
GPPsat,0.5,204,10,500,5.19469218385037,408
GPPsat,0.5,204,10,1000,5.18867835075765,408
GPPsat,0.7,285,3,500,4.99645992758266,408
GPPsat,0.7,285,3,1000,5.00400237493555,408
GPPsat,0.7,285,5,500,4.99890910733998,408
GPPsat,0.7,285,5,1000,5.00761639885869,408
GPPsat,0.7,285,10,500,4.9895967372905,408
GPPsat,0.7,285,10,1000,5.00403323976293,408
GPPsat,1,408,3,500,4.93434313848293,408
GPPsat,1,408,3,1000,4.93463282139999,408
GPPsat,1,408,5,500,4.93912815765688,408
GPPsat,1,408,5,1000,4.94101962955568,408
GPPsat,1,408,10,500,4.94032690403366,408
GPPsat,1,408,10,1000,4.94091268327824,408
NEPmax,0.2,81,3,500,5.41788400564479,408
NEPmax,0.2,81,3,1000,5.36212889222996,408
NEPmax,0.2,81,5,500,5.41489416064433,408
NEPmax,0.2,81,5,1000,5.37293537083103,408
NEPmax,0.2,81,10,500,5.43784700649059,408
NEPmax,0.2,81,10,1000,5.38144103659632,408
NEPmax,0.33,134,3,500,4.87863460458923,408
NEPmax,0.33,134,3,1000,4.87929386607852,408
NEPmax,0.33,134,5,500,4.88615624337127,408
NEPmax,0.33,134,5,1000,4.87925511631662,408
NEPmax,0.33,134,10,500,4.87391855156844,408
NEPmax,0.33,134,10,1000,4.8749102428768,408
NEPmax,0.5,204,3,500,4.61412714019208,408
NEPmax,0.5,204,3,1000,4.59502027950847,408
NEPmax,0.5,204,5,500,4.60345160569521,408
NEPmax,0.5,204,5,1000,4.59109297927163,408
NEPmax,0.5,204,10,500,4.6161135903838,408
NEPmax,0.5,204,10,1000,4.5948876610728,408
NEPmax,0.7,285,3,500,4.48282095717662,408
NEPmax,0.7,285,3,1000,4.47378053690902,408
NEPmax,0.7,285,5,500,4.483373294609,408
NEPmax,0.7,285,5,1000,4.48244435493889,408
NEPmax,0.7,285,10,500,4.47113549424189,408
NEPmax,0.7,285,10,1000,4.47148814567755,408
NEPmax,1,408,3,500,4.56341982092671,408
NEPmax,1,408,3,1000,4.5675837367723,408
NEPmax,1,408,5,500,4.55324255658334,408
NEPmax,1,408,5,1000,4.56070309455252,408
NEPmax,1,408,10,500,4.54972872686413,408
NEPmax,1,408,10,1000,4.5560098045157,408
ETmax,0.2,81,3,500,0.0460186086442365,408
ETmax,0.2,81,3,1000,0.0458590406870038,408
ETmax,0.2,81,5,500,0.0459315049171902,408
ETmax,0.2,81,5,1000,0.0458192562451134,408
ETmax,0.2,81,10,500,0.0460039651107572,408
ETmax,0.2,81,10,1000,0.0459028230061965,408
ETmax,0.33,134,3,500,0.0435634724567461,408
ETmax,0.33,134,3,1000,0.0435506517597646,408
ETmax,0.33,134,5,500,0.043617596182931,408
ETmax,0.33,134,5,1000,0.0435859437604423,408
ETmax,0.33,134,10,500,0.0435233257500714,408
ETmax,0.33,134,10,1000,0.0435715047974097,408
ETmax,0.5,204,3,500,0.0421049235111856,408
ETmax,0.5,204,3,1000,0.041820181852875,408
ETmax,0.5,204,5,500,0.0421095298038606,408
ETmax,0.5,204,5,1000,0.041848675593643,408
ETmax,0.5,204,10,500,0.0419943137959749,408
ETmax,0.5,204,10,1000,0.0417951373901579,408
ETmax,0.7,285,3,500,0.0409406635362718,408
ETmax,0.7,285,3,1000,0.0408339028216975,408
ETmax,0.7,285,5,500,0.040971242940732,408
ETmax,0.7,285,5,1000,0.0408900883723807,408
ETmax,0.7,285,10,500,0.0409640689823506,408
ETmax,0.7,285,10,1000,0.0408291575366842,408
ETmax,1,408,3,500,0.0404324612654101,408
ETmax,1,408,3,1000,0.0404490873938627,408
ETmax,1,408,5,500,0.040367434305669,408
ETmax,1,408,5,1000,0.0404110838702838,408
ETmax,1,408,10,500,0.0403438489951613,408
ETmax,1,408,10,1000,0.0403889190697326,408
uWUE,0.2,81,3,500,0.713636933894796,408
uWUE,0.2,81,3,1000,0.710107224496325,408
uWUE,0.2,81,5,500,0.714062100670063,408
uWUE,0.2,81,5,1000,0.710036220019446,408
uWUE,0.2,81,10,500,0.714808535487454,408
uWUE,0.2,81,10,1000,0.7104269217344,408
uWUE,0.33,134,3,500,0.656078210797389,408
uWUE,0.33,134,3,1000,0.657026896809279,408
uWUE,0.33,134,5,500,0.656803351988116,408
uWUE,0.33,134,5,1000,0.656570416275814,408
uWUE,0.33,134,10,500,0.658244794374051,408
uWUE,0.33,134,10,1000,0.657064603879177,408
uWUE,0.5,204,3,500,0.62666244302696,408
uWUE,0.5,204,3,1000,0.625333490123031,408
uWUE,0.5,204,5,500,0.626321750044518,408
uWUE,0.5,204,5,1000,0.624657494740931,408
uWUE,0.5,204,10,500,0.623961465827908,408
uWUE,0.5,204,10,1000,0.622773012305328,408
uWUE,0.7,285,3,500,0.607955399919646,408
uWUE,0.7,285,3,1000,0.605672402421215,408
uWUE,0.7,285,5,500,0.607774769693156,408
