model,response,R2_base,RMSE_base,R2_tuned,RMSE_tuned,dR2,dRMSE_pct,dataset
M1_12m,ETmax,0.292716186169521,0.0585917635374193,0.277779685479884,0.0592072050626801,-0.014936500689637,1.05038914704753,all_sites
M1_12m,GPPsat,0.263255750350056,7.71160806433017,0.275800730466231,7.64567111641128,0.012544980116175,-0.855034998781634,all_sites
M1_12m,NEPmax,0.269378076414599,7.63004921099452,0.265751516311053,7.64896226229873,-0.00362656010354601,0.247875875780164,all_sites
M1_12m,WUE,0.204507529299701,1.09639165259024,0.198519256814811,1.10051059943238,-0.00598827248489001,0.375682068757914,all_sites
M1_12m,uWUE,0.115175095009128,1.03522140128829,0.0858293774254908,1.05224822788894,-0.0293457175836372,1.64475218339388,all_sites
M1_24m,ETmax,0.318279652836527,0.0575231736073209,0.308054060595181,0.057952982672998,-0.010225592241346,0.747192894138924,all_sites
M1_24m,GPPsat,0.282449537291322,7.6104930873374,0.280356557281493,7.62158430135707,-0.00209298000982899,0.145735813598253,all_sites
M1_24m,NEPmax,0.284068298958078,7.55295306006497,0.277514286187864,7.58744613686229,-0.006554012770214,0.456683320060554,all_sites
M1_24m,WUE,0.203637469763585,1.09699107078355,0.178693585322998,1.11403873396552,-0.024943884440587,1.55403846357595,all_sites
M1_24m,uWUE,0.106349196930062,1.04037162211632,0.0717529553035229,1.06031855207709,-0.0345962416265391,1.91728893183322,all_sites
M2_12m,ETmax,0.398622987542821,0.0540272822746984,0.385269980413545,0.0546238014910792,-0.013353007129276,1.10410739031409,all_sites
M2_12m,GPPsat,0.445736863827053,6.68874391370002,0.437416850128228,6.73875910399412,-0.00832001369882501,0.747751609859926,all_sites
M2_12m,NEPmax,0.484510255601092,6.40901080583917,0.493538049084401,6.35264228232492,0.00902779348330901,-0.879519870100594,all_sites
M2_12m,WUE,0.184527677818251,1.11007493428331,0.159391732014275,1.12705344881757,-0.025135945803976,1.52949265044181,all_sites
M2_12m,uWUE,0.133333234324709,1.02454407006184,0.123782781875351,1.0301737137973,-0.00955045244935801,0.54947794828583,all_sites
M2_24m,ETmax,0.396334395493135,0.0541299873936691,0.384254941813823,0.0546688801405374,-0.012079453679312,0.995553061834489,all_sites
M2_24m,GPPsat,0.433500386481819,6.76217460409121,0.426721791813836,6.80251155424058,-0.00677859466798297,0.596508556950975,all_sites
M2_24m,NEPmax,0.478129365636614,6.44855515868096,0.48684563760865,6.39447658917951,0.008716271972036,-0.838615289328032,all_sites
M2_24m,WUE,0.20102154098681,1.0987913173253,0.141942524634877,1.13869096115186,-0.059079016351933,3.63123035261004,all_sites
M2_24m,uWUE,0.138507349240804,1.02148116009945,0.110433279032738,1.03799159359238,-0.028074070208066,1.6163228591825,all_sites
M3_12m,ETmax,0.427860115674838,0.0526975982401324,0.431370202266928,0.0525356992754488,0.00351008659209001,-0.307222663063042,all_sites
M3_12m,GPPsat,0.339812834563454,7.2999537725484,0.285643066059461,7.59353857861391,-0.054169768503993,4.02173513987912,all_sites
M3_12m,NEPmax,0.343835191033598,7.23081843376283,0.305159814220176,7.44086547579583,-0.038675376813422,2.9048861336668,all_sites
M3_12m,WUE,0.192257043334672,1.10480154659326,0.136771885487174,1.14211667386333,-0.055485157847498,3.3775411869339,all_sites
M3_12m,uWUE,0.0662976302682405,1.0634297435036,0.0443598419256538,1.07585010928692,-0.0219377883425867,1.1679535821896,all_sites
