uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
3.55578515699112,0.154040848381998,yes,yes,0.0154284685642781,yes,2.30566404568254,0.424750003032192,0.166401920025495,27.533243512395,25.406214,NA,NA,NA,1,29,BE-Vie,1996,50.304962,5.998099,508,MF
3.53044459336708,0.179018873028232,yes,yes,0.0113067535828648,yes,2.14142734346752,0.433615932835206,0.261611446242717,26.4955753666364,23.355597,NA,NA,NA,1,29,BE-Vie,1997,50.304962,5.998099,508,MF
4.45349873439429,0.168389614036832,yes,yes,0.00991291858700039,yes,1.62980084573875,0.505770452540599,0.207931965901581,30.0907850219762,26.995575,3.85917223086722,5.34536521697043,0.773053312732707,1,29,BE-Vie,1998,50.304962,5.998099,508,MF
4.5814621006354,0.162497969817362,yes,yes,0.00781846869982246,yes,1.24705802210816,0.452516346245657,0.195488481028476,28.5443015176031,26.090398,NA,NA,NA,1,29,BE-Vie,1999,50.304962,5.998099,508,MF
3.95306364988811,0.180814430029149,yes,yes,0.00931271290131643,yes,1.36964819192457,0.455321854422826,0.205834895827965,26.2102349484275,23.192748,NA,NA,NA,1,29,BE-Vie,2000,50.304962,5.998099,508,MF
4.16685432172831,0.172434679405337,yes,yes,0.00906048315439232,yes,1.33665988215789,0.477234864752312,0.179960444534343,28.062690225522,24.764568,NA,NA,NA,1,29,BE-Vie,2001,50.304962,5.998099,508,MF
4.4107564998349,0.15799962406278,yes,yes,0.00981980534265608,yes,1.48445346805246,0.435730424991557,0.210348943320321,27.7987688309577,26.88644,NA,NA,NA,1,29,BE-Vie,2002,50.304962,5.998099,508,MF
4.56143890366914,0.172533419946331,yes,yes,0.00698749227832956,yes,1.29470440729024,0.43051576403964,0.203609400454248,25.4709123277973,22.579044,NA,NA,NA,1,29,BE-Vie,2003,50.304962,5.998099,508,MF
5.57119294305886,0.160906665624564,yes,yes,0.00808715338097583,yes,1.12893169339933,0.388275191622203,0.174168560119085,25.8139334363307,24.33264,NA,NA,NA,1,29,BE-Vie,2004,50.304962,5.998099,508,MF
4.06017178040023,0.184214199285299,yes,yes,0.011315921736024,yes,1.76437102206232,0.384645329367407,0.144680523002765,28.6207788383255,26.798724,NA,NA,NA,1,29,BE-Vie,2005,50.304962,5.998099,508,MF
3.97362348514708,0.186183048887637,yes,yes,0.0106794926127612,yes,1.79148208758199,0.394524182765151,0.196302663006903,30.3029244849318,26.632986,NA,NA,NA,1,29,BE-Vie,2006,50.304962,5.998099,508,MF
4.06919534602416,0.172827610778305,yes,yes,0.0116898699351315,yes,1.60174407848439,0.400705226874378,0.204130783550371,28.583381205918,25.269428,NA,NA,NA,1,29,BE-Vie,2007,50.304962,5.998099,508,MF
4.32793532020207,0.17405584312576,yes,yes,0.0129620436758995,yes,1.06091100960647,0.401760222908946,0.217856261146692,34.3009860365802,28.868678,NA,NA,NA,1,29,BE-Vie,2008,50.304962,5.998099,508,MF
