uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
2.61615265743099,0.135571297267064,yes,yes,2.15606639155764e-07,yes,-1.0836658142623,0.396875751021389,0.197799373709719,17.7231660673053,9.77384,NA,NA,NA,2,16,FI-Sod,2001,67.36238641,26.63859066,187,ENF
2.77802618467377,0.125933718971531,yes,yes,0.0100145544616894,yes,3.36781012058746,0.371527777777778,0.207641812131382,20.3134791073317,11.89118,NA,NA,NA,2,16,FI-Sod,2002,67.36238641,26.63859066,187,ENF
2.65469803579362,0.106715951757775,yes,yes,0.00786561470605214,yes,3.47246096165528,0.359582542694497,0.183769030238365,13.1706870973355,7.9827279,NA,NA,NA,2,16,FI-Sod,2003,67.36238641,26.63859066,187,ENF
2.28581330447234,0.131919958847568,yes,yes,0.00906030561321588,yes,4.12663922927816,0.384466209790484,0.229933359184937,15.7130461042849,8.8077577,NA,NA,NA,2,16,FI-Sod,2004,67.36238641,26.63859066,187,ENF
2.70696612186011,0.110091033048116,yes,yes,-0.000108231734308583,yes,-1.09608220577392,0.396296296296296,0.228463222093795,16.177523468404,9.31257399999999,NA,NA,NA,2,16,FI-Sod,2005,67.36238641,26.63859066,187,ENF
3.41055845690756,0.086451077886569,yes,yes,-8.05366819180035e-05,yes,-1.07107547938378,0.29583678792857,0.160550418483445,13.3040019876203,8.6459544,NA,NA,NA,2,16,FI-Sod,2006,67.36238641,26.63859066,187,ENF
2.56682003277401,0.120837419289192,yes,yes,-0.000106805101105908,yes,-1.05437803357179,0.348572623362141,0.20709592617552,16.1602916381943,9.40201679999999,NA,NA,NA,2,16,FI-Sod,2007,67.36238641,26.63859066,187,ENF
2.11225485169554,0.124622386533288,yes,yes,0.0113926896909773,yes,5.22402937658157,0.386281588447653,0.210388871218843,15.1668000703126,9.1245138,NA,NA,NA,2,16,FI-Sod,2008,67.36238641,26.63859066,187,ENF
2.45022103863344,0.108273070147785,yes,yes,0.00639295519260119,yes,3.30305615034252,0.374941108030247,0.170850969162299,12.1619455339826,8.353054,NA,NA,NA,2,16,FI-Sod,2009,67.36238641,26.63859066,187,ENF
2.49093244420714,0.0966342085908695,yes,yes,0.00842294838484832,yes,4.07442383998967,0.301587301587302,0.120323964895775,15.5663510072355,8.37878019999999,NA,NA,NA,2,16,FI-Sod,2010,67.36238641,26.63859066,187,ENF
2.47162094910354,0.134456495958101,yes,yes,0.00923220667390565,yes,4.19282089267352,0.364681603773585,0.169034758976406,15.3469464939321,9.8162178,NA,NA,NA,2,16,FI-Sod,2011,67.36238641,26.63859066,187,ENF
2.53991030545475,0.115047584835695,yes,yes,0.00998007960643489,yes,4.12474806253194,0.342971133831972,0.143281220537118,14.3531530709055,9.2144584,NA,NA,NA,2,16,FI-Sod,2012,67.36238641,26.63859066,187,ENF
3.5521592593672,0.0930286806672743,yes,yes,0.00671268576764446,yes,2.75428609099504,0.290665938864629,0.138679024675799,16.435087328767,11.59511,NA,NA,NA,2,16,FI-Sod,2013,67.36238641,26.63859066,187,ENF
2.96449871434469,0.124594982344355,yes,yes,0.00886207733384697,yes,3.62328897966511,0.402555910543131,0.141663458353958,20.3974831104163,10.126928,NA,NA,NA,2,16,FI-Sod,2014,67.36238641,26.63859066,187,ENF
3.88440483438351,0.10570619263243,yes,yes,0.00746258214290221,yes,2.41986448302055,0.38285668832455,0.225478770801954,18.9732720579754,10.4728,NA,NA,NA,2,16,FI-Sod,2023,67.36238641,26.63859066,187,ENF
3.40396194912421,0.121960823083666,yes,yes,0.00625815867660813,yes,2.84532214267176,0.425698065172794,0.189319743039152,16.4374365250988,11.5587,NA,NA,NA,2,16,FI-Sod,2024,67.36238641,26.63859066,187,ENF
