uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
3.72824676252049,0.245672740540193,yes,yes,0.047948886499278,yes,5.3311677348547,0.692024533900298,0.271338803986671,29.021369308217,21.6522,NA,NA,NA,1,15,DE-Akm,2010,53.8662,13.6834,-1,WET
4.51438875548246,0.21794676232947,yes,yes,0.000549043340454692,yes,-0.803182316243273,0.516573734764631,0.291083322895131,36.7169667431779,31.1892,NA,NA,NA,1,15,DE-Akm,2011,53.8662,13.6834,-1,WET
4.62622713230035,0.234895449179832,yes,yes,0.00058167897028192,yes,-0.829151879909412,0.602306116039009,0.232332374642933,42.3582317179213,34.3048,NA,NA,NA,1,15,DE-Akm,2012,53.8662,13.6834,-1,WET
4.0123500832092,0.25562899626344,yes,yes,0.000648846671668377,yes,-0.861851840535873,0.650309259299521,0.275137348851635,40.3140999868835,31.9,NA,NA,NA,1,15,DE-Akm,2013,53.8662,13.6834,-1,WET
2.65657332518442,0.238036098358531,yes,yes,0.000610007182453274,yes,-0.75303718130776,0.613971564555759,0.193190055836776,25.435838266787,21.9831,NA,NA,NA,1,15,DE-Akm,2014,53.8662,13.6834,-1,WET
3.34929653325402,0.289971018755065,yes,yes,0.000675183113605966,yes,-0.890885008192572,0.724284760742974,0.202582120413578,33.1671820074509,24.0255,NA,NA,NA,1,15,DE-Akm,2015,53.8662,13.6834,-1,WET
2.69754471561553,0.251155126156423,yes,yes,0.000675084941093735,yes,-0.789362815768914,0.654812059648319,0.226564480228786,31.2114859303542,22.8074,NA,NA,NA,1,15,DE-Akm,2016,53.8662,13.6834,-1,WET
2.78226443669959,0.215627966121786,yes,yes,0.000520015043529686,yes,-0.773180356232404,0.675015981922056,0.196513283182357,26.1907699980289,26.0378,NA,NA,NA,1,15,DE-Akm,2017,53.8662,13.6834,-1,WET
2.9824391032422,0.279646224070089,yes,yes,0.00079029199541215,yes,-0.839034504330661,0.610601522264591,0.176236489417035,34.5371680658833,27.2499,NA,NA,NA,1,15,DE-Akm,2018,53.8662,13.6834,-1,WET
2.69162897965214,0.210570432661442,yes,yes,0.000555100119207974,yes,-0.79701292857681,0.630804923125319,0.193369906121248,28.6325594761454,22.7692,NA,NA,NA,1,15,DE-Akm,2020,53.8662,13.6834,-1,WET
2.33703412549079,0.235387880648846,yes,yes,0.000677036132037013,yes,-0.746102288336769,0.657791133917844,0.230271602639801,28.596633784363,25.1868,NA,NA,NA,1,15,DE-Akm,2021,53.8662,13.6834,-1,WET
2.63031767256896,0.232464145643436,yes,yes,0.00058152025179917,yes,-0.835054475056886,0.668145856395196,0.195494251960746,24.7083171269769,22.4628,NA,NA,NA,1,15,DE-Akm,2022,53.8662,13.6834,-1,WET
2.81060299980456,0.22874670176423,yes,yes,0.000696717235043631,yes,-0.727541815549167,0.660087310174993,0.235124435931988,28.3708831975701,19.9889,NA,NA,NA,1,15,DE-Akm,2023,53.8662,13.6834,-1,WET
