uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
2.07137024873303,0.141665359884274,yes,yes,0.0054922722371223,yes,-132.698010977302,0.513462859876914,0.102381076867123,10.3588317799924,7.2957,NA,NA,NA,-9,14,US-BZB,2011,64.6955,-148.3208,100,WET
2.14032486986631,0.145819222623037,yes,yes,0.00525641548516614,yes,-133.634285941728,0.563759759230885,0.110675411951585,10.4138000460453,7.55599999999999,NA,NA,NA,-9,14,US-BZB,2012,64.6955,-148.3208,100,WET
1.84234078894477,0.148005252961464,yes,yes,0.00516908217655786,yes,-155.5738390196,0.548422729493553,0.128987684134471,10.334916220335,7.7720654,NA,NA,NA,-9,14,US-BZB,2014,64.6955,-148.3208,100,WET
2.08034398493858,0.154698223522651,yes,yes,0.00474290695733109,yes,-132.435385570843,0.57368583132979,0.125071900791917,10.3379876975025,7.570096,NA,NA,NA,-9,14,US-BZB,2015,64.6955,-148.3208,100,WET
1.99050155106522,0.154269221243587,yes,yes,0.00520060947662233,yes,-146.164932101256,0.584481174874617,0.109873321914232,10.3609947680349,7.574886,NA,NA,NA,-9,14,US-BZB,2016,64.6955,-148.3208,100,WET
1.71434651500556,0.156919087680269,yes,yes,0.0052754841603324,yes,5.16004800545363,0.576900459069467,0.120348851206164,10.0893807441477,7.7919925,NA,NA,NA,-9,14,US-BZB,2017,64.6955,-148.3208,100,WET
2.32675938642577,0.155279498199087,yes,yes,0.00482365822153265,yes,3.54930170936515,0.590903006752856,0.12238969853032,11.1643333723699,8.0396796,NA,NA,NA,-9,14,US-BZB,2018,64.6955,-148.3208,100,WET
2.27607326008457,0.149152430238586,yes,yes,0.00462940642369265,yes,3.82958492331396,0.594591074574289,0.141260616906607,11.1605560124277,7.9892447,NA,NA,NA,-9,14,US-BZB,2019,64.6955,-148.3208,100,WET
1.72257365107269,0.147343553819387,yes,yes,0.00496749848059536,yes,4.95624857044985,0.54324692249587,0.121947313498963,10.5117263282671,8.41458139999999,NA,NA,NA,-9,14,US-BZB,2020,64.6955,-148.3208,100,WET
2.00547887609762,0.142256006680402,yes,yes,0.00452609157147256,yes,4.30527537734633,0.548098974409443,0.124437939539379,9.4517189066752,6.695482,NA,NA,NA,-9,14,US-BZB,2021,64.6955,-148.3208,100,WET
2.42288228581628,0.153051400667963,yes,yes,0.00483969386394701,yes,3.40358186989913,0.586845423787831,0.119482072651707,11.8745747933996,8.1306866,NA,NA,NA,-9,14,US-BZB,2022,64.6955,-148.3208,100,WET
2.37713159009744,0.153880235408227,yes,yes,0.0049123959960411,yes,3.48558127510702,0.592784628156156,0.117962040908085,12.8651848376101,8.63720540000002,NA,NA,NA,-9,14,US-BZB,2023,64.6955,-148.3208,100,WET
2.24001059522469,0.159164157569655,yes,yes,0.00464480612959863,yes,4.08411933713707,0.564018824775895,0.143136726412659,12.4320403428608,8.2925108,NA,NA,NA,-9,14,US-BZB,2024,64.6955,-148.3208,100,WET
