uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
1.62977108481895,0.278082481843632,yes,yes,0.0094220577648937,yes,4.86834014452437,0.645698629554147,0.212809478543637,14.2239314742976,15.610325,NA,NA,NA,-8,11,US-Blo,1997,38.8953,-120.6328,1315,ENF
1.33570379015553,0.328997845423703,yes,yes,0.0146163566627592,yes,5.04307798642937,0.607417676940141,0.247120082759888,17.8787425925457,20.305894,NA,NA,NA,-8,11,US-Blo,1998,38.8953,-120.6328,1315,ENF
1.39234458645329,0.246136145909272,yes,yes,0.00832757698479952,yes,4.73246909570052,0.506038268414671,0.188908608779266,14.5657768849924,14.299076,NA,NA,NA,-8,11,US-Blo,1999,38.8953,-120.6328,1315,ENF
1.62229181357102,0.209472985905855,yes,yes,0.00756705985935037,yes,3.91958868178193,0.478010011222019,0.177417390778582,12.5913891919378,12.337304,NA,NA,NA,-8,11,US-Blo,2000,38.8953,-120.6328,1315,ENF
2.72780344556819,0.216554201753915,yes,yes,0.00648543948461655,yes,2.27219409423253,0.42716035603672,0.201624116090862,13.4314439530158,12.505924,NA,NA,NA,-8,11,US-Blo,2001,38.8953,-120.6328,1315,ENF
3.0155513898652,0.257452954771284,yes,yes,0.00785993817600635,yes,2.03200487937823,0.517152958462405,0.258498213421563,18.9612536435129,15.20657,NA,NA,NA,-8,11,US-Blo,2002,38.8953,-120.6328,1315,ENF
2.86969376774573,0.232127652825856,yes,yes,0.00745830238454818,yes,2.17827722290482,0.508102300925854,0.247877998426946,15.575140814919,15.0667,NA,NA,NA,-8,11,US-Blo,2003,38.8953,-120.6328,1315,ENF
2.4975317811073,0.243867878280242,yes,yes,0.00818622551663845,yes,2.88605555267435,0.464917836517724,0.235244664295237,16.2543157903293,14.267972,NA,NA,NA,-8,11,US-Blo,2004,38.8953,-120.6328,1315,ENF
2.94290888414513,0.274255786639454,yes,yes,0.00855788356908302,yes,2.30589273815166,0.560412642260339,0.276278450750702,22.291931511403,17.43715,NA,NA,NA,-8,11,US-Blo,2005,38.8953,-120.6328,1315,ENF
2.36356542196984,0.35712231027199,yes,yes,4.06758761024719e-06,yes,-1.19122906610292,0.581382484611614,0.262576874228346,20.541817966975,20.50412,NA,NA,NA,-8,11,US-Blo,2006,38.8953,-120.6328,1315,ENF
2.52854062642619,0.259268056851411,yes,yes,0.00885281335027155,yes,2.72988041418155,0.470014953831413,0.225991670589223,16.9460239684905,18.890545,NA,NA,NA,-8,11,US-Blo,2007,38.8953,-120.6328,1315,ENF
