uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
4.37276821312445,0.34693309676177,yes,yes,0.0103716463700007,yes,1.4434319206874,0.777378407457232,0.313390383440947,46.0443630234203,39.196123,NA,NA,NA,-6,3,US-A32,2015,36.8193,-97.8198,335.58,GRA
3.46426370335377,0.269598252124025,yes,yes,0.00663892595597283,yes,1.49830841792479,0.665902790768864,0.247402553315922,32.3853045139209,26.513273,3.2672117894946,5.95766757977798,0.88639524840255,-6,3,US-A32,2016,36.8193,-97.8198,335.58,GRA
2.60891550256079,0.253961451229709,yes,yes,0.00923808308557912,yes,3.05184067279057,0.560821340915492,0.265340985462378,21.9211003528965,17.507385,NA,NA,NA,-6,3,US-A32,2017,36.8193,-97.8198,335.58,GRA
