uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
3.33105061970744,0.235759515623182,yes,yes,0.0235321335383646,yes,3.31852752666586,0.745134670161105,0.175976275800009,43.0231535186354,33.7646,NA,NA,NA,1,20,DE-Kli,2004,50.89306,13.52238,478,CRO
3.27977502570231,0.286658060350208,yes,yes,-0.000106766066864074,yes,-0.952556835151069,0.790721385333455,0.21674299417792,42.2989374654148,33.5181039999999,NA,NA,NA,1,20,DE-Kli,2005,50.89306,13.52238,478,CRO
2.92036293446541,0.276453342667151,yes,yes,-7.21738513554818e-05,yes,-1.00538815138589,0.774320396649,0.182384595876164,36.186483482375,28.7389,NA,NA,NA,1,20,DE-Kli,2006,50.89306,13.52238,478,CRO
3.25498010873356,0.275016785411153,yes,yes,0.0190625654610681,yes,3.22951823944557,0.734553065159167,0.217398902021397,41.5247974379279,37.716259,NA,NA,NA,1,20,DE-Kli,2007,50.89306,13.52238,478,CRO
2.45223950541543,0.190297988737116,yes,yes,0.0137144354189944,yes,4.06967478168909,0.626092759270293,0.178933636763226,18.0981156192073,14.686,NA,NA,NA,1,20,DE-Kli,2008,50.89306,13.52238,478,CRO
6.56526400071584,0.163139061157195,yes,yes,0.00620426356147513,yes,0.379538216971185,0.643792354388816,0.242999030999955,45.4901930602145,37.646763,NA,NA,NA,1,20,DE-Kli,2009,50.89306,13.52238,478,CRO
3.48430220672967,0.215060245634329,yes,yes,0.0211228514146612,yes,2.83426347876079,0.65121766057374,0.185162291645848,42.0150862934526,33.64998,NA,NA,NA,1,20,DE-Kli,2010,50.89306,13.52238,478,CRO
3.80143591048937,0.277129695029371,yes,yes,0.019759053735274,yes,2.72130683510661,0.745329967352309,0.197059244302473,43.43191642617,36.79,NA,NA,NA,1,20,DE-Kli,2011,50.89306,13.52238,478,CRO
3.70601284628684,0.225376564698892,yes,yes,0.0135859662208885,yes,2.37534258436434,0.694653971394419,0.289372823372081,32.3855879130319,27.298,NA,NA,NA,1,20,DE-Kli,2012,50.89306,13.52238,478,CRO
3.37365871219584,0.296290636303268,yes,yes,0.0668941745753796,yes,5.52804056351972,0.677763868402155,0.0877086809936269,47.3203378952825,36.9368,NA,NA,NA,1,20,DE-Kli,2013,50.89306,13.52238,478,CRO
3.93656386986994,0.298059807317074,yes,yes,0.0234997094625916,yes,2.45960872116281,0.730387493014357,0.254955847698015,48.2752392777756,41.7121,NA,NA,NA,1,20,DE-Kli,2014,50.89306,13.52238,478,CRO
3.92793021388342,0.239285262582336,yes,yes,0.0188204775837253,yes,2.42500525483175,0.696813524129894,0.209031676311264,41.5422938494667,36.0894,NA,NA,NA,1,20,DE-Kli,2015,50.89306,13.52238,478,CRO
3.76393101127664,0.286251373158045,yes,yes,0.0299430773654827,yes,2.81186298373347,0.752541475016964,0.27075740925956,50.6866229625991,42.4155,NA,NA,NA,1,20,DE-Kli,2016,50.89306,13.52238,478,CRO
3.3247211439154,0.169899140218462,yes,yes,0.00671548337561527,yes,1.32032204502537,0.583629395473746,0.193066062421705,21.0680340817278,23.3394999999999,NA,NA,NA,1,20,DE-Kli,2017,50.89306,13.52238,478,CRO
3.84756046705775,0.316299584649665,yes,yes,0.0313819948481655,yes,2.59667012059857,0.812423096203801,0.244848946807597,50.1763345923261,44.0312,NA,NA,NA,1,20,DE-Kli,2021,50.89306,13.52238,478,CRO
2.96383767350164,0.227664966093925,yes,yes,0.0150419421921368,yes,3.80594776970372,0.644193416479248,0.198321680004587,25.1576852702215,21.1886,NA,NA,NA,1,20,DE-Kli,2022,50.89306,13.52238,478,CRO
3.6778915659686,0.23817068761999,yes,yes,0.0178216693956577,yes,2.45728211197738,0.701388027802545,0.233106367886525,33.2032730482806,32.129,NA,NA,NA,1,20,DE-Kli,2023,50.89306,13.52238,478,CRO
