uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
3.47854840673462,0.267778782647475,yes,yes,0.0560900441946526,yes,4.97996061751338,0.852298814020113,0.15302221306844,41.7265154562633,38.213265,NA,NA,NA,1,21,BE-Lon,2004,50.5516198,4.7462339,157,CRO
4.23175198208635,0.298685221329329,yes,yes,0.0267970239524793,yes,2.49732786632341,0.765766979763872,0.236580318081099,49.2160586103573,43.348733,NA,NA,NA,1,21,BE-Lon,2005,50.5516198,4.7462339,157,CRO
3.05921089059092,0.263830080963339,yes,yes,0.0285073303544111,yes,3.49458667964026,0.729146636178343,0.168215454853988,34.4878229534705,30.988202,NA,NA,NA,1,21,BE-Lon,2006,50.5516198,4.7462339,157,CRO
5.18150546280521,0.234944428955659,yes,yes,0.0235028137250763,yes,1.45440094613888,0.771123494241979,0.261635180334503,53.4526110358828,45.61535,NA,NA,NA,1,21,BE-Lon,2007,50.5516198,4.7462339,157,CRO
4.59663302280822,0.268432963603133,yes,yes,0.0241963363099327,yes,1.90143347404353,0.849387098238262,0.184898549388883,47.0100728226259,41.507078,NA,NA,NA,1,21,BE-Lon,2008,50.5516198,4.7462339,157,CRO
5.32658742671442,0.235928129359649,yes,yes,0.0143247680306379,yes,1.00729950097701,0.773555114040052,0.193064496533003,48.185730627846,41.049532,NA,NA,NA,1,21,BE-Lon,2009,50.5516198,4.7462339,157,CRO
4.40165675526992,0.181700280928629,yes,yes,0.00574077773632322,yes,1.10311711856497,0.582888063108152,0.180393931202062,24.9546104065706,23.45977,2.15106796261386,3.91493628977377,0.740182889436422,1,21,BE-Lon,2010,50.5516198,4.7462339,157,CRO
8.37658062250779,0.198153418480216,yes,yes,0.007877950951473,yes,0.0895411278296372,0.640095413916424,0.41966111006527,49.5954481945962,43.78214,NA,NA,NA,1,21,BE-Lon,2011,50.5516198,4.7462339,157,CRO
6.65206259087036,0.224126006759705,yes,yes,0.0097401631105161,yes,0.583561326051427,0.679520732538968,0.20557097448654,63.7214189274749,46.832326,NA,NA,NA,1,21,BE-Lon,2012,50.5516198,4.7462339,157,CRO
4.93446137196811,0.243327321037431,yes,yes,0.000372059151844096,yes,-0.704991419729085,0.677649350290416,0.263901728585832,53.020350930453,45.55156,NA,NA,NA,1,21,BE-Lon,2013,50.5516198,4.7462339,157,CRO
3.72238471621597,0.185387037624181,yes,yes,0.00491280590419676,yes,-0.617620372047608,0.597664815030928,0.179561251655701,28.056459487303,25.524892,NA,NA,NA,1,21,BE-Lon,2014,50.5516198,4.7462339,157,CRO
5.32457771330828,0.218846379448165,yes,yes,0.00972967580906582,yes,0.853489554227357,0.724193722841146,0.293484239262525,47.7389968365808,39.482698,NA,NA,NA,1,21,BE-Lon,2015,50.5516198,4.7462339,157,CRO
4.60314865134877,0.208631335206128,yes,yes,0.0093921515298851,yes,0.99211456381819,0.805691791405262,0.241727360818596,35.2666138688412,32.145944,NA,NA,NA,1,21,BE-Lon,2016,50.5516198,4.7462339,157,CRO
5.06371293911743,0.205002503718078,yes,yes,0.00838934164419155,yes,0.883562037298777,0.679681090312764,0.301352990679491,37.6318072020677,34.310371,NA,NA,NA,1,21,BE-Lon,2017,50.5516198,4.7462339,157,CRO
2.69562535142644,0.320727793526061,yes,yes,0.0541491975711786,yes,3.22690697233512,0.778226596812433,0.227703858614902,37.5429533222927,37.9704,NA,NA,NA,1,21,BE-Lon,2021,50.5516198,4.7462339,157,CRO
3.98167528566832,0.31804541690499,yes,yes,0.0305159165941376,yes,3.17713039305124,0.746606693179615,0.207301942502424,51.027026202066,41.8447,NA,NA,NA,1,21,BE-Lon,2022,50.5516198,4.7462339,157,CRO
3.09246364838054,0.263682104976368,yes,yes,0.011743720546609,yes,2.7744714359359,0.643733742413126,0.387701734990712,29.7589501828239,26.1342,NA,NA,NA,1,21,BE-Lon,2023,50.5516198,4.7462339,157,CRO
2.86946595530122,0.402095173860937,yes,yes,0.0589914477623882,yes,5.27253547912092,0.803296371284322,0.200275738118334,50.4613107854656,42.631,NA,NA,NA,1,21,BE-Lon,2024,50.5516198,4.7462339,157,CRO
