SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
FR-FBn,,43.24079,5.67865,436,ENF
FR-Fon,Fontainebleau-Barbeau,48.476358,2.780096,103,DBF
FR-Gri,Grignon,48.84422,1.95191,86,CRO
FR-Hes,,48.6741,7.06465,300,DBF
FR-LBr,Le Bray,44.7171,-0.7693,61,ENF
FR-LGt,La Guette,47.322917,2.284102,153,WET
FR-Lqu,,45.6444,2.7349,995,GRA
FR-Lus,,46.4142461,0.1206518,154,GRA
FR-Mej,,48.1184,-1.79635,40,GRA
FR-Pue,Puechabon,43.7413,3.5957,194,EBF
FR-Tou,,43.572855,1.37474,158,GRA
GF-Guy,Guyaflux (French Guiana),5.2787,-52.9248,40,EBF
GH-Ank,Ankasa,5.2685,-2.6942,124,EBF
GL-Dsk,,69.25349,-53.51413,8,OSH
GL-NuF,Nuuk Fen,64.130933,-51.386068,43,WET
GL-ZaF,Zackenberg Fen,74.481522,-20.555773,42,WET
GL-ZaH,Zackenberg Heath,74.473299,-20.550869,-9999,GRA
HK-MPM,Mai Po Mangrove,22.4982,114.0292,-1,EBF
ID-Pag,Palangkaraya undrained forest,-2.32,113.9,30,EBF
IT-BCi,Borgo Cioffi,40.52375,14.95744444,10,CRO
IT-BFt,,45.197755,10.741966,23,DBF
IT-CA1,Castel d'Asso1,42.3804,12.0266,200,DBF
IT-CA2,Castel d'Asso2,42.3772,12.026,200,CRO
IT-CA3,Castel d'Asso3,42.38,12.0222,197,DBF
IT-Cas,Castellaro,45.07,8.7175,89,CRO
IT-Col,Collelongo,41.8494,13.5881,1560,DBF
IT-Cp,,41.7042655944824,12.3572931289673,19,MF
IT-Cp2,Castelporziano2,41.7043,12.3573,19,EBF
IT-Cpz,Castelporziano,41.7052,12.3761,68,EBF
IT-Isp,Ispra ABC-IS,45.8126,8.6336,210,DBF
IT-La2,Lavarone2,45.9542,11.2853,1350,ENF
IT-Lav,Lavarone,45.9562,11.2813,1353,ENF
IT-Lsn,,45.740481,12.750297,1,OSH
IT-MBo,Monte Bondone,46.014678,11.045831,1550,GRA
IT-Niv,,45.49091,7.13943,2750,GRA
IT-Noe,Arca di Noe - Le Prigionette,40.606176,8.151694,25,CSH
