site_id,n_years,first_year,last_year
DE-Spw,5,2010,2014
FR-Mej,5,2019,2023
IE-CaC,5,2003,2008
RU-Tks,5,2010,2014
US-Atq,5,2004,2008
US-CF1,5,2017,2021
US-CF3,5,2017,2021
US-CF4,5,2017,2021
US-CS2,5,2018,2022
US-Goo,5,2002,2006
US-LS2,5,2003,2007
US-Me3,5,2004,2009
US-Me4,5,1996,2000
US-Mpj,5,2008,2012
US-Rwe,5,2003,2007
US-xDL,5,2020,2024
US-xKA,5,2019,2024
US-xMB,5,2020,2024
US-xSC,5,2020,2024
US-xSJ,5,2020,2024
US-xTA,5,2019,2024
US-xTL,5,2019,2024
US-xUK,5,2020,2024
ZA-Kru,5,2000,2005
AU-Gin,4,2011,2014
AU-Lon,4,2019,2022
AU-Wac,4,2005,2008
BE-Maa,4,2021,2024
CA-NS1,4,2002,2005
CA-NS3,4,2001,2005
CA-NS7,4,2002,2005
CA-Qc2,4,2007,2010
CA-SF1,4,2003,2006
CA-TP2,4,2003,2006
CG-Tch,4,2006,2009
CH-Aws,4,2006,2009
CN-Cng,4,2007,2010
DE-Hdn,4,2020,2023
DE-Seh,4,2007,2010
DK-Eng,4,2005,2008
FI-Jok,4,2000,2003
IE-CaN,4,2003,2006
IT-CA1,4,2011,2014
IT-CA2,4,2011,2014
IT-CA3,4,2011,2014
IT-Ro1,4,2000,2003
RU-Che,4,2002,2005
SD-Dem,4,2005,2009
SN-Dhr,4,2010,2013
US-AR1,4,2009,2012
US-CF2,4,2017,2020
US-DS3,4,2021,2024
US-Dmg,4,2021,2024
US-Fcr,4,2011,2014
US-HB3,4,2019,2022
US-HWB,4,2015,2018
US-Ivo,4,2004,2007
US-KS2,4,2003,2006
US-RGA,4,2021,2024
US-RGB,4,2021,2024
US-RGo,4,2021,2024
US-Ro3,4,2004,2007
US-Srr,4,2014,2017
US-Wi4,4,2002,2005
AR-SLu,3,2009,2011
AR-Vir,3,2010,2012
AU-Emr,3,2011,2013
AU-Ync,3,2012,2014
CA-EM1,3,2021,2023
CA-MA2,3,2009,2011
CA-MA3,3,2009,2011
CA-NS4,3,2003,2005
CH-Oe1,3,2002,2004
CN-Cha,3,2003,2005
CN-Din,3,2003,2005
CN-Ha2,3,2003,2005
CN-Qia,3,2003,2005
CN-Sw2,3,2010,2012
DE-Hai,3,2000,2002
DE-Rns,3,2021,2023
DE-SfN,3,2012,2014
ES-LgS,3,2007,2009
FI-Lom,3,2007,2009
FI-Qvd,3,2018,2020
IT-La2,3,2000,2002
IT-PT1,3,2002,2004
PA-SPn,3,2007,2009
PA-SPs,3,2007,2009
RU-Ha1,3,2002,2004
RU-SkP,3,2012,2014
SE-Sto,3,2022,2024
US-A32,3,2015,2017
US-AR2,3,2009,2011
US-CRT,3,2011,2013
US-GBT,3,2001,2003
US-Me5,3,2000,2002
US-RGW,3,2022,2024
US-RRC,3,2022,2024
US-SSH,3,2016,2019
US-Sne,3,2016,2018
US-Snf,3,2018,2020
US-StJ,3,2015,2017
US-WPT,3,2011,2013
US-Wi3,3,2002,2004
US-xNQ,3,2019,2021
US-xYE,3,2019,2022
ZM-Mon,3,2007,2009
