SITE_ID,n_years,years_available
US-YK2,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xAB,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBA,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBL,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBN,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xBR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xDJ,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xDL,5,"2020, 2021, 2022, 2023, 2024"
US-xDS,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xGR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xHA,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xHE,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xJE,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xJR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xMB,5,"2020, 2021, 2022, 2023, 2024"
US-xML,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xNQ,3,"2019, 2020, 2021"
US-xRM,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xSB,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xSC,5,"2020, 2021, 2022, 2023, 2024"
US-xSE,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xSJ,5,"2020, 2021, 2022, 2023, 2024"
US-xSR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xST,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xTA,5,"2019, 2020, 2021, 2023, 2024"
US-xTL,5,"2019, 2021, 2022, 2023, 2024"
US-xTR,6,"2019, 2020, 2021, 2022, 2023, 2024"
US-xUK,5,"2020, 2021, 2022, 2023, 2024"
US-xUN,6,"2019, 2020, 2021, 2022, 2023, 2024"
