uWUE,ETmax,precipAvail,Gavail,GSmax,CO2avail,G1,EF,EFampl,GPPsat,NEPmax,Rb,Rbmax,aCUE,TZ,nyears,SITE_ID,year,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,site_id
3.96623240551227,0.341838331009842,yes,yes,0.0252128595955964,yes,2.62046057075596,0.871950767171318,0.237556905318624,38.3050009940671,28.8591,NA,NA,NA,1,19,AT-Neu,2002,47.1167,11.3175,970,GRA,AT-Neu
4.51231569599806,0.287053364760389,yes,yes,0.0116077636193569,yes,1.02145989111625,0.892296622141681,0.291718143565838,34.3221249515343,25.9276,NA,NA,NA,1,19,AT-Neu,2003,47.1167,11.3175,970,GRA,AT-Neu
3.81218182739917,0.280863984777754,yes,yes,0.0235160028843592,yes,2.82601328881556,0.891063560456681,0.241592201604255,38.6817070459599,28.3984,NA,NA,NA,1,19,AT-Neu,2004,47.1167,11.3175,970,GRA,AT-Neu
3.9546534947658,0.290674507251021,yes,yes,0.0186009406598956,yes,2.31030885246662,0.819118930016605,0.293535414288652,37.9030674995509,28.526,NA,NA,NA,1,19,AT-Neu,2005,47.1167,11.3175,970,GRA,AT-Neu
3.7283003287438,0.302313686738432,yes,yes,0.0244726314138004,yes,2.31420103156899,0.846355393175815,0.261350656375331,37.6507077287835,30.320595,NA,NA,NA,1,19,AT-Neu,2006,47.1167,11.3175,970,GRA,AT-Neu
4.93754498805178,0.26570737217246,yes,yes,0.0141194622383797,yes,1.77366422871193,0.848684307597318,0.254602937857808,40.9473473705836,31.028369,NA,NA,NA,1,19,AT-Neu,2007,47.1167,11.3175,970,GRA,AT-Neu
4.96804750571917,0.283160004027421,yes,yes,0.019140109071138,yes,1.69851194435697,0.810693493578657,0.266966849127571,46.4030295328186,32.85472,NA,NA,NA,1,19,AT-Neu,2008,47.1167,11.3175,970,GRA,AT-Neu
5.24474033025332,0.266522180949567,yes,yes,0.0172523971406581,yes,1.4715849456026,0.804987608639953,0.286309953115695,46.4523658865409,30.101986,NA,NA,NA,1,19,AT-Neu,2009,47.1167,11.3175,970,GRA,AT-Neu
4.43793463766626,0.273257639184272,yes,yes,0.0152151454596075,yes,1.94707548056466,0.796803524187339,0.245291337110792,40.6819401483594,27.947664,NA,NA,NA,1,19,AT-Neu,2010,47.1167,11.3175,970,GRA,AT-Neu
5.52203476482756,0.278325275602232,yes,yes,0.0159610364336877,yes,1.78411397259758,0.810250508931011,0.266467198420336,47.4141716603182,30.823816,NA,NA,NA,1,19,AT-Neu,2011,47.1167,11.3175,970,GRA,AT-Neu
4.87206343414546,0.230494769310392,yes,yes,0.0121972815137363,yes,0.875702711333907,0.803324015814338,0.291967034335308,37.7682933827387,28.452741,NA,NA,NA,1,19,AT-Neu,2012,47.1167,11.3175,970,GRA,AT-Neu
4.16464185790537,0.264580306741314,yes,yes,0.0146504478067651,yes,1.37472335187603,0.825945212672851,0.292193633836454,36.821857569542,29.7304,NA,NA,NA,1,19,AT-Neu,2013,47.1167,11.3175,970,GRA,AT-Neu
4.62085354412709,0.26012402684584,yes,yes,0.0173604926432349,yes,1.87008669439261,0.817493919466715,0.269626176172908,46.0427089206216,29.5875,NA,NA,NA,1,19,AT-Neu,2014,47.1167,11.3175,970,GRA,AT-Neu
4.92863859976298,0.269864090133673,yes,yes,0.015088397885019,yes,1.49257895463066,0.817618054238574,0.308631668550515,39.4015030004102,29.333234,NA,NA,NA,1,19,AT-Neu,2015,47.1167,11.3175,970,GRA,AT-Neu
4.34396127971979,0.271509242131606,yes,yes,0.0149972673745558,yes,1.4689402120592,0.835784111103173,0.265879470354432,41.3578052183034,27.0429,NA,NA,NA,1,19,AT-Neu,2016,47.1167,11.3175,970,GRA,AT-Neu
5.27781743461927,0.257604127084915,yes,yes,0.0114115614924448,yes,0.877711574517019,0.811581616238279,0.253707064785751,45.612824019735,27.012068,NA,NA,NA,1,19,AT-Neu,2017,47.1167,11.3175,970,GRA,AT-Neu
5.2693548673088,0.2406108526318,yes,yes,0.0103094463391532,yes,0.913376261720322,0.838850194458708,0.325987693895963,38.9022048572674,27.15,NA,NA,NA,1,19,AT-Neu,2018,47.1167,11.3175,970,GRA,AT-Neu
5.43355100350088,0.282877710246218,yes,yes,0.0113478828293817,yes,0.619974374004975,0.790514441410948,0.341086505474096,42.6767047079671,30.23225,NA,NA,NA,1,19,AT-Neu,2019,47.1167,11.3175,970,GRA,AT-Neu
6.93339245765719,0.197449613992679,yes,yes,0.006938022882719,yes,0.215658679967271,0.732774020671175,0.316731015087011,43.806105305173,26.6784,NA,NA,NA,1,19,AT-Neu,2020,47.1167,11.3175,970,GRA,AT-Neu
0.789920847386586,0.116003047781364,yes,yes,0.0130617408992418,yes,2.49885468748443,0.234647249190938,0.111872511368336,7.91635495405374,9.07617000000001,NA,NA,NA,8,6,AU-Boy,2017,-32.477093000000004,116.938559,390,EBF,AU-Boy
0.771122632835769,0.105687211709328,yes,yes,0.017089036181122,yes,2.51970021835527,0.219730941704036,0.123413246897052,9.27083260857905,10.0742,NA,NA,NA,8,6,AU-Boy,2018,-32.477093000000004,116.938559,390,EBF,AU-Boy
1.05178409993558,0.0923996941415819,yes,yes,0.0156257134264575,yes,1.7396986937939,0.185597876412124,0.140056531211435,10.8552062659351,12.890863,NA,NA,NA,8,6,AU-Boy,2019,-32.477093000000004,116.938559,390,EBF,AU-Boy
1.4732504638463,0.0806720488088967,yes,yes,0.0135019906962007,yes,1.57186008084364,0.1671388101983,0.133062589584329,11.6500581120605,12.939085,NA,NA,NA,8,6,AU-Boy,2020,-32.477093000000004,116.938559,390,EBF,AU-Boy
1.24328357892504,0.1140259764601,yes,yes,0.0197534832854607,yes,2.11820523722631,0.246575342465753,0.167349551856594,13.1165846326032,15.571685,NA,NA,NA,8,6,AU-Boy,2021,-32.477093000000004,116.938559,390,EBF,AU-Boy
1.32956021254681,0.110213420054029,yes,yes,0.0214978328037245,yes,1.74744645921381,0.24390243902439,0.148915449313856,15.1505615336003,16.432452,NA,NA,NA,8,6,AU-Boy,2022,-32.477093000000004,116.938559,390,EBF,AU-Boy
2.35626455544008,0.159919657339657,yes,yes,0.00504277923983083,yes,2.10349821814483,0.371829375759164,0.16466706074976,10.1975679024176,14.87523,NA,NA,NA,11,11,AU-Cum,2012,-33.6152,150.7236,37,EBF,AU-Cum
2.0694809252305,0.200625498662807,yes,yes,0.00743545502402708,yes,3.07303047069976,0.466666666666667,0.232981917496808,14.6615713523825,21.263897,NA,NA,NA,11,11,AU-Cum,2013,-33.6152,150.7236,37,EBF,AU-Cum
0.90391431292513,0.21235921581357,yes,yes,0.0444160680517315,yes,2.39677387080316,0.480932203389831,0.229646599635145,20.9090485834607,26.0601,NA,NA,NA,11,11,AU-Cum,2015,-33.6152,150.7236,37,EBF,AU-Cum
0.979539091551756,0.214424458100229,yes,yes,0.0381479181957253,yes,2.48012889194508,0.455808080808081,0.238356130155061,20.3111444368374,26.778916,NA,NA,NA,11,11,AU-Cum,2016,-33.6152,150.7236,37,EBF,AU-Cum
0.937498965896482,0.179715268284805,yes,yes,0.0349250890103019,yes,2.09702697283226,0.396464646464646,0.27006798914412,22.2356293493716,26.928132,NA,NA,NA,11,11,AU-Cum,2017,-33.6152,150.7236,37,EBF,AU-Cum
1.06897502756702,0.167902848223505,yes,yes,0.0191732719097688,yes,1.79021472222883,0.349090909090909,0.185069344252628,16.6093669667657,21.196625,NA,NA,NA,11,11,AU-Cum,2018,-33.6152,150.7236,37,EBF,AU-Cum
1.29717631633637,0.179327657220208,yes,yes,0.0224675331253433,yes,1.45370294297264,0.364025695931477,0.22529245663574,20.6782160616067,28.112942,NA,NA,NA,11,11,AU-Cum,2019,-33.6152,150.7236,37,EBF,AU-Cum
1.30131595364719,0.193015105922749,yes,yes,0.0330873256368054,yes,1.54725257109632,0.438127090301003,0.232129514321295,27.68893443809,32.22268,NA,NA,NA,11,11,AU-Cum,2020,-33.6152,150.7236,37,EBF,AU-Cum
