site_id,year,forest_mean_pct_100m,deadwood_mean_pct_100m,loss_area_frac_100m,loss_mean_pp_100m,loss_sum_pp_100m,deadwood_increase_area_frac_100m,deadwood_increase_mean_pp_100m,deadwood_increase_sum_pp_100m,forest_mean_pct_200m,deadwood_mean_pct_200m,loss_area_frac_200m,loss_mean_pp_200m,loss_sum_pp_200m,deadwood_increase_area_frac_200m,deadwood_increase_mean_pp_200m,deadwood_increase_sum_pp_200m,forest_mean_pct_300m,deadwood_mean_pct_300m,loss_area_frac_300m,loss_mean_pp_300m,loss_sum_pp_300m,deadwood_increase_area_frac_300m,deadwood_increase_mean_pp_300m,deadwood_increase_sum_pp_300m,forest_mean_pct_400m,deadwood_mean_pct_400m,loss_area_frac_400m,loss_mean_pp_400m,loss_sum_pp_400m,deadwood_increase_area_frac_400m,deadwood_increase_mean_pp_400m,deadwood_increase_sum_pp_400m,forest_mean_pct_500m,deadwood_mean_pct_500m,loss_area_frac_500m,loss_mean_pp_500m,loss_sum_pp_500m,deadwood_increase_area_frac_500m,deadwood_increase_mean_pp_500m,deadwood_increase_sum_pp_500m
AU-Boy,2016,6.33035492678084,7.84437825763217,,,,,,,7.17609828741623,7.38086373790022,,,,,,,8.22503258729234,7.43239870205508,,,,,,,8.53667103784189,7.87716997627076,,,,,,,8.57710921518735,7.55076585341516,,,,,,
AU-Boy,2017,23.7490692479524,3.54430379746835,0,0,0,0,0,0,24.8836559940432,3.24677339290146,0,0,0,0,0,0,25.450952658291,3.31599966719361,0,0,0,0,0,0,25.0323154739603,3.45611652304234,0,0,0,0,0,0,24.9750037419548,3.44100184603103,0,0,0,0,0,0
AU-Boy,2018,16.1330354926781,5.62918838421445,0.0537974683544304,1.2186646810623,385.098039215686,0,0,0,13.7397617274758,3.4915611814346,0.185126582278481,4.91499131298089,6212.54901960784,0.00158227848101266,0.0331968230330107,41.9607843137255,14.6893807027762,3.00080428210888,0.167963224893918,4.34659012119699,12292.1568627451,0.00141442715700141,0.0298139057603239,84.3137254901961,13.0649743974023,2.84750843012364,0.196257961783439,5.21910515798676,26220.7843137255,0.000995222929936306,0.0207630823029849,104.313725490196,11.8837000449035,2.63807813201617,0.236132315521629,6.27006935089557,49282.7450980392,0.000763358778625954,0.015915781070698,125.098039215686
AU-Boy,2019,12.4770414494912,1.69893273765202,0,0,0,0,0,0,11.2149416728717,1.3530032266071,0,0,0,0,0,0,12.4214438250548,1.34689519372105,0,0,0,0,0,0,11.0101317597103,1.29386786561758,0,0,0,0,0,0,9.65334530758869,1.25395399890236,0.00203562340966921,0.0432569974554707,340,0.000381679389312977,0.00868133512947163,68.2352941176471
AU-Boy,2020,8.56415984115165,1.69645073219161,0.0474683544303798,1.10821543807396,350.196078431373,0,0,0,9.1319185902209,1.84226855299082,0.0585443037974684,1.36603375527426,1726.66666666667,0,0,0,10.0242671325956,2.13828105499626,0.0569306930693069,1.36949829436725,3872.94117647059,0.00106082036775106,0.0230191086335524,65.0980392156863,9.3913919070813,2.16747845635069,0.0410031847133758,1.00279442987386,5038.03921568628,0.000597133757961783,0.0129574122642688,65.0980392156863,8.82936686124832,2.40682532555007,0.0304071246819338,0.739909195230255,5815.68627450981,0.0039440203562341,0.101731277752831,799.607843137255
AU-Boy,2021,9.30379746835443,1.92355423181931,0,0,0,0,0,0,11.0170017374038,2.6644328617523,0,0,0,0.000791139240506329,0.0170637875403326,21.5686274509804,11.9524641539784,3.24527830934354,0,0,0,0.00282885431400283,0.0657292620018304,185.882352941176,11.32056325715,3.08815723741726,0,0,0,0.00179140127388535,0.0412919945048083,207.450980392157,10.8127026892182,3.1561143541386,0.000127226463104326,0.00254452926208651,20,0.00190839694656489,0.0437559247617622,343.921568627451
AU-Boy,2022,23.7900223380491,3.8632414991313,0,0,0,0.00316455696202532,0.0769421692727724,24.3137254901961,23.8067758749069,3.92777364110201,0,0,0,0.00158227848101266,0.0403325887316952,50.9803921568628,23.6664170618743,4.44837340876945,0,0,0,0.00106082036775106,0.0250991485703192,70.9803921568628,23.1161795928563,4.58544086424379,0,0,0,0.000995222929936306,0.0227925565130511,114.509803921569,22.5524622062566,4.34101681385022,0,0,0,0.00114503816793893,0.0269919672703687,212.156862745098
AU-Boy,2023,25.9493670886076,0.497642094812609,0,0,0,0,0,0,26.8956316703897,0.609022089848598,0.000791139240506329,0.0186150409530901,23.5294117647059,0,0,0,26.9287516986993,0.629420084865629,0.000353606789250354,0.00832015974706714,23.5294117647059,0,0,0,26.6618271512427,0.616960159860122,0.000199044585987261,0.00468340202322967,23.5294117647059,0,0,0,26.9521528713267,0.663024497330739,0.000381679389312977,0.00818240782318016,64.3137254901961,0,0,0
AU-Boy,2024,16.8565400843882,0.46909903201787,0.069620253164557,1.60709853561678,507.843137254902,0,0,0,17.6510920824026,0.713886820551005,0.0925632911392405,2.17858029287664,2753.72549019608,0,0,0,19.0431816290873,0.828133233491416,0.064002828854314,1.51621044457387,4287.8431372549,0,0,0,19.1673691769702,0.844885724990633,0.0503582802547771,1.18536905207943,5955.29411764706,0,0,0,19.0371201915881,0.862196278002295,0.0571246819338422,1.35882851868483,10680.3921568627,0,0,0
AU-GWW,2016,9.22065028543063,1.30677587490692,,,,,,,11.042442293373,1.8174484983867,,,,,,,12.2908173170258,2.16462822752864,,,,,,,13.0499875109279,2.34474522292994,,,,,,,12.9988025744649,2.41381030783815,,,,,,
AU-GWW,2017,12.6743608835939,3.88557954827501,0.00316455696202532,0.0856291883842144,27.0588235294118,0.00632911392405063,0.135269297592455,42.7450980392157,15.4225614296351,4.80485232067511,0.00712025316455696,0.17156862745098,216.862745098039,0.00870253164556962,0.195457930007446,247.058823529412,16.3970934908617,5.44263249854397,0.00919377652050919,0.212996089524919,602.352941176471,0.00848656294200849,0.191918351499015,542.745098039216,17.4101567378544,5.83918758586237,0.00955414012738853,0.22300799300612,1120.39215686275,0.0133359872611465,0.311290121143999,1563.92156862745,17.2198772638827,5.69181260290376,0.00966921119592875,0.225515142443746,1772.54901960784,0.0119592875318066,0.281395000748391,2211.76470588235
AU-GWW,2018,15.2097294614048,2.90022338049144,0.00316455696202532,0.0732191610821544,23.1372549019608,0,0,0,17.8257632166791,4.1331595929511,0.000791139240506329,0.0183047902705386,23.1372549019608,0,0,0,18.7528080539146,4.884627118174,0.000353606789250354,0.00818149041794936,23.1372549019608,0,0,0,19.7997065068065,5.21652928687399,0.000199044585987261,0.00460534532284251,23.1372549019608,0,0,0,19.5484707878062,5.07139649753031,0.000127226463104326,0.00294367110711969,23.1372549019608,0,0,0
AU-GWW,2019,14.6388682055101,3.42144452717796,0,0,0,0,0,0,17.3628691983122,4.71922313229089,0,0,0,0,0,0,18.4322045649943,5.31242199850237,0,0,0,0,0,0,19.6043305857375,5.57488759835144,0,0,0,0,0,0,19.5364466397246,5.35618420396148,0,0,0,0,0,0
AU-GWW,2020,15.66269545793,3.03425167535369,0,0,0,0,0,0,18.6749193348225,3.92963514519732,0,0,0,0,0,0,19.8460770446793,4.32523504451286,0,0,0,0,0,0,21.1796709129512,4.50254464843262,0,0,0,0,0,0,21.1128573566831,4.41605548071646,0,0,0,0,0,0
AU-GWW,2021,14.6760982874162,2.1891288160834,0,0,0,0,0,0,17.7447877885331,2.77457185405808,0,0,0,0,0,0,18.9437557201098,3.08386721025044,0,0,0,0,0,0,20.1538497564631,3.27627388535032,0,0,0,0,0,0,20.0880107768298,3.15825974155566,0,0,0,0,0,0
AU-GWW,2022,12.9101514023331,2.29957805907173,0,0,0,0,0,0,16.0644700918342,3.03828493422686,0,0,0,0,0,0,17.2554566381008,3.43026319438667,0,0,0,0,0,0,18.4028037966779,3.72330460846759,0,0,0,0,0,0,18.3304395549568,3.62824926408222,0,0,0,0.000254452926208651,0.00563787856109365,44.3137254901961
AU-GWW,2023,13.5343757756267,3.37180441796972,0,0,0,0,0,0,16.3939563167039,4.38477289650037,0,0,0,0,0,0,17.3729095598635,4.96561000637879,0,0,0,0.000353606789250354,0.00845882907618493,23.921568627451,18.3772792556513,5.43360497065068,0,0,0,0.000199044585987261,0.00476145872361684,23.921568627451,18.2003692062067,5.37165095045652,0,0,0,0.000127226463104326,0.00304345656837799,23.921568627451
AU-GWW,2024,11.7522958550509,3.13601389923058,0,0,0,0,0,0,14.3639861007694,3.79188384214445,0,0,0,0,0,0,15.0949884904457,4.08575311312644,0.000353606789250354,0.00721080511412486,20.3921568627451,0,0,0,15.8893780442113,4.27664855751218,0.000199044585987261,0.00405894842013238,20.3921568627451,0,0,0,15.666616773936,4.13331337624108,0.000127226463104326,0.00259442199271566,20.3921568627451,0,0,0
AU-GWW,2025,11.8019359642591,4.12385207247456,0,0,0,0,0,0,14.2020352444775,4.72604864730702,0,0,0,0.000791139240506329,0.0214072970960536,27.0588235294118,14.8064176165516,4.89807804309843,0,0,0,0.000353606789250354,0.00956818370912722,27.0588235294118,15.6509928812289,4.99406769077058,0,0,0,0.000199044585987261,0.00538591232671413,27.0588235294118,15.4783216085416,4.91348600508906,0,0,0,0.000127226463104326,0.00344259841341117,27.0588235294118
AU-War,2016,0.78307272275999,0.286671630677588,,,,,,,1.22486969471333,0.460412012906429,,,,,,,1.14762736777879,0.342374573591813,,,,,,,1.68063881603597,0.478097289871363,,,,,,,2.69660230504416,0.823728982687223,,,,,,
AU-War,2017,13.1347728965004,1.00893521965748,0,0,0,0,0,0,12.3911020104244,1.32849342268553,0,0,0,0.00237341772151899,0.0657731447009183,83.1372549019608,13.4688132678814,1.47849238705383,0,0,0,0.00601131541725601,0.163768477688105,463.137254901961,16.3849600349694,2.10557949294367,0.000398089171974522,0.0090545772449107,45.4901960784314,0.00895700636942675,0.254308729861371,1277.64705882353,19.7540288379983,2.54363119293519,0.000508905852417303,0.0123733971960285,97.2549019607843,0.0124681933842239,0.342363917577209,2690.98039215686
AU-War,2018,61.6517746339042,15.4591710101762,0,0,0,0.25,8.81360138992306,2785.09803921569,58.8911640605609,15.8677711590966,0,0,0,0.266613924050633,8.66126830479027,10947.8431372549,57.9429791718668,15.4398591119616,0,0,0,0.263083451202263,8.38477965443603,23712.1568627451,58.9353846634195,16.0928718621206,0,0,0,0.265326433121019,8.4910078681154,42658.8235294118,59.9339919173776,17.5378436361822,0,0,0,0.287531806615776,9.46978995160405,74432.5490196079
