response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4815,0.5084,1.34,48.2,0.6258,0.6954, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4595,0.4987,1.55,47.3,0.5879,0.6655, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4584,0.4762,2.38,44.6,0.8321,0.8321, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4616,0.4853,0.54,47.3,0.7089,0.7595, ns
uWUE,Anomaly / 12m,C vs C+D,112,0.6787,0.7291,-2.93,55.4,0.151,0.3117, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,112,0.641,0.7092,-3.3,53.6,0.2871,0.4337, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,112,0.7182,0.6897,-1.5,52.7,0.186,0.3488, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7053,0.6948,-1.49,53.6,0.2725,0.4337, ns
uWUE,Anomaly / 24m,C vs C+D,112,0.7077,0.7038,-4.4,57.1,0.09448,0.2268, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,112,0.6819,0.6986,1.07,48.2,0.1768,0.3422, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,112,0.7395,0.7032,-0.74,51.8,0.347,0.4627, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7053,0.6988,-2.74,56.2,0.1372,0.294, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,112,0.453,0.4945,0.48,49.1,0.3395,0.4627, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4854,0.4859,-0.64,51.8,0.4486,0.5383, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4328,0.4328,-0.58,51.8,0.2981,0.4363, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.429,0.4314,-3.55,60.7,0.08736,0.2207, ns
