learner,response,best_cv,n_trials,learning_rate,nrounds,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l2,mtry_frac,num_trees,min_node_size,sample_fraction,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
LGB,ETmax,0.7231344,50,0.0224274297839208,600,19,5,0.960882023299459,0.718134239202372,0.00293038641929661,,,,,,,,,
LGB,GPPsat,0.8029032,50,0.0220970566842707,200,37,34,0.810641663439628,0.838047620107789,0.0400808785264073,,,,,,,,,
LGB,NEPmax,0.75494568,50,0.0263338657355995,600,2,3,0.977991916354623,0.526592669766944,0.00131890356890382,,,,,,,,,
LGB,uWUE,0.84860628,50,0.0177955280119975,600,58,38,0.70096681725718,0.690956778189364,0.24276041068415,,,,,,,,,
LGB,WUE,0.81355828,50,0.0174825918493999,500,45,35,0.841905960266798,0.572183248164451,0.103708474521075,,,,,,,,,
RF,ETmax,0.71429889,50,,,,,,,,0.885841970955101,1250,4,0.822533879834876,,,,,
RF,GPPsat,0.79785691,50,,,,,,,,0.726891580763581,500,1,0.522563026419172,,,,,
RF,NEPmax,0.75130897,50,,,,,,,,0.774752171545586,250,21,0.529229211957587,,,,,
RF,uWUE,0.8495012,50,,,,,,,,0.915052205605815,500,16,0.741149721839871,,,,,
RF,WUE,0.82261843,50,,,,,,,,0.942986248253497,1500,16,0.401121407829752,,,,,
XGB,ETmax,0.70799739,50,0.0150982149644728,900,,,,,,,,,,2,6.76767261828295,0.509374658407279,0.887364774986007,18.0569404950148
XGB,GPPsat,0.7941922,50,0.0289112998903129,300,,,,,,,,,,1,10.5643038022584,0.596119526740465,0.992594327516375,0.0317635871986567
XGB,NEPmax,0.76358827,50,0.0494868449604719,100,,,,,,,,,,6,5.68252820615691,0.661843930434632,0.731200947185013,0.0349871869907721
XGB,uWUE,0.84342853,50,0.0613190852418841,100,,,,,,,,,,2,16.0670396545679,0.621527184238159,0.876400703688394,12.8352509351389
XGB,WUE,0.81725744,50,0.0254338626662869,200,,,,,,,,,,1,12.0131465882922,0.548148731408965,0.677053766141577,3.62331614129071
