"SITE_ID","siteID","uWUE","ETmax","precipAvail","Gavail","GSmax","CO2avail","G1","EF","EFampl","GPPsat","NEPmax","Rb","Rbmax","aCUE","TZ","nyears","SITE_NAME","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP"
"AR-SLu","AR-SLu","14.6420243246375","0.119488149000771","yes","yes","0.00309720583049285","yes","-0.494621540398142","0.169642857142857","0.202878492247992","28.153395481435","29.768756",NA,NA,NA,"-3","3","San Luis",-33.4648,-66.4598,505,"MF"
"AR-Vir","AR-Vir","3.99903007043068","0.293510310932313","yes","yes","0.000729289456096901","yes","-0.828186739263869","0.7765636232108","0.313754911681638","42.3747244563674","31.623048",NA,NA,NA,"-3","4","Virasoro",-28.2395,-56.1886,105,"ENF"
"AT-Neu","AT-Neu","4.74117812011236","0.27327688876603","yes","yes","0.0155729220960465","yes","1.4482808262471","0.822628331411729","0.283386320762807","42.796852127404","29.494455","15.3857008525882","21.7621260882325","0.69785387223731","1","19","Neustift",47.1167,11.3175,970,"GRA"
"AU-Boy","AU-Boy","1.16433409547872","0.106848860628347","yes","yes","0.0176816893610645","yes","1.89778638152249","0.219260219944214","0.146525980416537","13.3863789069789","14.682556",NA,NA,NA,"8","6","",-32.477093,116.938559,390,"EBF"
"AU-Emr","AU-Emr","2.68814667477306","0.126297222352692","yes","yes","0.00282344764463533","yes","1.48334056440369","0.292237442922374","0.222959377115071","12.0431465310871","16.147284",NA,NA,NA,"10","3","Emerald",-23.8587,148.4746,179,"GRA"
"AU-Gin","AU-Gin","3.20488022956418","0.137291869191616","yes","yes","0.00428733052811933","yes","2.2375730535591","0.301003344481605","0.212958413969719","11.7513389053224","10.974365",NA,NA,NA,"8","4","Gingin",-31.3764,115.7138,51,"WSA"
"AU-GWW","AU-GWW","1.03617142742862","0.0785469801040957","yes","yes","0.00789202210493344","yes","1.62663968457448","0.142857142857143","0.138392486200961","6.57764347800901","8.11667",NA,NA,NA,"8","10","Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,453,"SAV"
"AU-Lon","AU-Lon","1.06875925442685","0.18076941626636","yes","yes","0.016106208415338","yes","2.00097220742241","0.496093511566868","0.219733052947551","24.2164040361266","22.11835",NA,NA,NA,"10","5","",-23.5232657644973,144.310415719645,207,"GRA"
"AU-Rgf","AU-Rgf","0.62296456956519","0.16411283710531","yes","yes","0.0262309129232667","yes","2.03379124058347","0.580917366946779","0.303751643860983","17.3455813629796","17.558938",NA,NA,NA,"8","8","",-32.506102,116.966827,311,"CRO"
"AU-Rig","AU-Rig","2.35754909396808","0.19112145275412","yes","yes","0.00596512808926776","yes","2.44506097427204","0.516960215957871","0.209879966160268","14.0903217556519","10.9694",NA,NA,NA,"11","1","Riggs Creek",-36.6499,145.5759,152,"GRA"
"AU-Rob","AU-Rob","2.82649707729223","0.26119488372091","yes","yes","0.0108603363602783","yes","1.86910179702358","0.496640858859805","0.209382178881027","25.8513403213602","23.75",NA,NA,NA,"10","1","Robson Creek, Queensland, Australia",-17.1175,145.6301,711,"EBF"
"AU-Wac","AU-Wac","2.52902679036342","0.22723068168833","yes","yes","0.0193284488266473","yes","3.21788171697934","0.466266563269159","0.233910557476566","23.9742956033653","33.923124",NA,NA,NA,"11","4","Wallaby Creek",-37.4259,145.1878,751,"EBF"
"AU-War","AU-War","1.50073999015037","0.237781130216278","yes","yes","0.0658658822244958","yes","1.73684276972008","0.510948905109489","0.26325348186239","37.4427127685631","36.823724",NA,NA,NA,"11","9","",-43.09502,146.65452,113,"EBF"
"AU-Whr","AU-Whr","0.979628550946719","0.145385469016172","yes","yes","0.0442827756795411","yes","3.70007516584358","0.298039215686275","0.195723684210526","16.226881328864","15.248058",NA,NA,NA,"11","11","Whroo",-36.6732,145.0294,150,"EBF"
"AU-Wom","AU-Wom","0.932428591521526","0.270498481275883","yes","yes","0.100052001962634","yes","3.34340043225561","0.508532423208191","0.236471612954312","29.1266098161322","27.05566",NA,NA,NA,"11","12","Wombat",-37.4222,144.0944,705,"EBF"
"AU-Ync","AU-Ync","2.26016298480991","0.105658090019666","yes","yes","0.00392380177066749","yes","1.84898669844736","0.335265344411686","0.184121330059602","11.8483778657904","11.730981",NA,NA,NA,"11","3","Jaxa",-34.9893,146.2907,124,"GRA"
"BR-CST","BR-CST","4.20015148682919","0.202039537947482","yes","yes","0.000685460245887273","yes","-1.04590451846649","0.273240763990761","0.352782789013102","19.7312902929241","26.17643",NA,NA,NA,"-3","2","",-7.9682,-38.3842,468,"DNF"
"BR-Npw","BR-Npw","2.02118299914947","0.363841245575293","yes","yes","0.000501490054637568","yes","-0.871565876648716","0.794045863278969","0.167275152405572","25.162227418849","31.81081",NA,NA,NA,"-3","5","Northern Pantanal Wetland",-16.498,-56.412,120,"WSA"
"BR-Sa3","BR-Sa3","2.6806932406443","0.363487510298924","yes","yes","0.0202299614190322","yes","2.87747444617858","0.764552121963326","0.145091089175583","34.411430000367","34.847",NA,NA,NA,"-3","5","Santarem-Km83-Logged Forest",-3.018,-54.9714,100,"EBF"
"CA-Ca1","CA-Ca1","6.17917206423835","0.131427501012186","yes","yes","0.00636475013168043","yes","0.264313750845062","0.325917985644602","0.151034240955916","32.0630130644748","25.054608","3.48695018820734","8.71762520905438","0.833341175259247","-8","15","",49.8673,-125.3336,303.06,"ENF"
"CA-Ca2","CA-Ca2","3.39109871958074","0.162080804141233","yes","yes","0.00569464077649711","yes","1.56785766270921","0.403462998102467","0.193133583021223","19.1683357233357","12.57249",NA,NA,NA,"-8","12","",49.8705,-125.2909,174.01,"ENF"
"CA-Cbo","CA-Cbo","3.99501476939693","0.293194427828318","yes","yes","0.0157153913250746","yes","1.66851848808943","0.667542305242116","0.286176522022392","45.2838376310748","32.977287","6.27861455253171","12.3041311987588","0.435920392380788","-5","27","",44.3167,-79.9333,215.72,"DBF"
"CA-CF1","CA-CF1","0.510598787120155","0.173925506613132","yes","yes","0.000255366444699569","yes","-0.369835891178689","0.613340211221152","0.168077558787217","4.32218222921362","3.796148",NA,NA,NA,"-6","2","",58.6658,-93.83,26,"WET"
"CA-DB2","CA-DB2","1.01029137584276","0.13768745357188","yes","yes","0.004933544323835","yes","5.62152991719048","0.373181367900416","0.114827860742296","6.19593292316735","6.1279606",NA,NA,NA,"-8","2","",49.119,-122.9951,9.21,"WET"
"CA-EM1","CA-EM1","1.86620297994876","0.243578192891961","yes","yes","0.000426002120315811","yes","-0.717317240370257","0.866680372420234","0.175715080077282","17.4545653478654","19.31394",NA,NA,NA,"-6","3","",50.3623,-100.2024,608,"WET"
"CA-Gro","CA-Gro","2.96289354597637","0.217422393643042","yes","yes","0.0117477096865749","yes","2.53907862702887","0.514587467617856","0.277451722547378","26.1128993284661","24.37189",NA,NA,NA,"-5","12","Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,340,"MF"
"CA-LP1","CA-LP1","2.6426866875646","0.120815956366581","yes","yes","0.00616798119805444","yes","2.86368167274724","0.288202027879839","0.176578617223847","12.746981063147","11.310512",NA,NA,NA,"-8","16","",55.1119,-122.8414,751,"ENF"
"CA-MA2","CA-MA2","3.05309659323707","0.210011496376313","yes","yes","0.00798408204351577","yes","1.37894257735794","0.689735041954536","0.252185810943014","33.6817416498851","23.271608",NA,NA,NA,"-6","3","",50.171,-97.8762,259,"CRO"
"CA-MA3","CA-MA3","3.32871725951879","0.190201294099427","yes","yes","0.00642565202620306","yes","1.81352500028906","0.675828988422318","0.245124925943404","23.0573551030081","18.192366",NA,NA,NA,"-6","3","",50.1774,-97.8686,259,"GRA"
"CA-Man","CA-Man","2.83378165646321","0.140567827609702","yes","yes","0.000499372094744214","yes","-0.618624964951229","0.322181551976574","0.164578981992344","13.9356945852445","11.27565","71.9654836782942","7.36085069921434","0.73884151162614","-6","15","Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)",55.8796,-98.4808,259,"ENF"
"CA-NS1","CA-NS1","3.70294659889212","0.135531535082917","yes","yes","0.000626773478148915","yes","-0.638046175132701","0.311395234182416","0.181995690800081","15.3624157170127","13.701948",NA,NA,NA,"-6","5","UCI-1850 burn site",55.8792,-98.4839,260,"ENF"
"CA-NS2","CA-NS2","3.04220985604681","0.12819398728637","yes","yes","0.00051329700100149","yes","-0.634005471622103","0.3164637116415","0.175719407357114","15.3652985790778","13.329015",NA,NA,NA,"-6","5","UCI-1930 burn site",55.9058,-98.5247,260,"ENF"
"CA-NS3","CA-NS3","2.95588752610936","0.151303189976815","yes","yes","0.000509060782162556","yes","-0.608987401667996","0.352518354418792","0.203075215049241","15.7912639372796","13.3672","3.21711387579843","5.04390283287234","0.640099795706111","-6","5","UCI-1964 burn site",55.9117,-98.3822,260,"ENF"
"CA-NS4","CA-NS4","3.20387825852206","0.0869066895389926","yes","yes","0.000217445090315712","yes","-0.787248869197123","0.30690102843828","0.139817657341767","11.086011576837","8.588034","292.514395090855","134.798108467174","-44.4133306443775","-6","5","UCI-1964 burn site wet",55.9144,-98.3806,260,"ENF"
"CA-NS5","CA-NS5","3.12659648120442","0.161116079461456","yes","yes","0.000457016664919865","yes","-0.732186754288262","0.474591201247317","0.23895671521518","18.9860111764219","15.130962",NA,NA,NA,"-6","5","UCI-1981 burn site",55.8631,-98.485,260,"ENF"
"CA-NS6","CA-NS6","2.88799116910081","0.129038250427725","yes","yes","0.000321567961326479","yes","-0.77652091436374","0.415180982232209","0.222096271931121","13.5821416064449","11.926467",NA,NA,NA,"-6","5","UCI-1989 burn site",55.9167,-98.9644,244,"OSH"
"CA-NS7","CA-NS7","2.46925754358464","0.153674287829657","yes","yes","0.0005043289434452","yes","-0.70393382383743","0.418288934727666","0.167154346306203","14.8921039994631","14.369849","2.07370767259137","2.85148824269718","0.459216713448401","-6","5","UCI-1998 burn site",56.6358,-99.9483,297,"OSH"
"CA-Oas","CA-Oas","3.43615249733401","0.250918206723927","yes","yes","0.00095730048465341","yes","-0.672355536697278","0.631709587340987","0.305707731827564","30.150923579304","26.989","3.75116293707239","7.17197549540792","0.76457022687978","-6","15","Saskatchewan - Western Boreal, Mature Aspen",53.6289,-106.1978,530,"DBF"
