cc,window,response,share,se,n_vars,per_var,learner
Combined index (rho = 0.97 with rel. mortality),24 months,ETmax,11.8013927089725,0.366731930515209,10,1.18013927089725,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,GPPsat,30.633705949568,0.737702605425276,10,3.0633705949568,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,NEPmax,24.5282687180577,0.555118126792272,10,2.45282687180577,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,WUE,33.6049355925366,0.670957806062997,10,3.36049355925366,LightGBM (Optuna)
Standing mortality / deadwood,12 months,ETmax,57.5786103903645,0.721274641368773,70,0.822551577005208,LightGBM (Optuna)
Standing mortality / deadwood,12 months,GPPsat,45.2648115612665,0.81028953421141,70,0.64664016516095,LightGBM (Optuna)
Standing mortality / deadwood,12 months,NEPmax,43.7450116409206,0.842991336910992,70,0.624928737727436,LightGBM (Optuna)
Standing mortality / deadwood,12 months,WUE,47.5325373415401,0.84524581464159,70,0.679036247736288,LightGBM (Optuna)
Standing mortality / deadwood,24 months,ETmax,62.9014100768893,0.468365422769204,70,0.898591572526991,LightGBM (Optuna)
Standing mortality / deadwood,24 months,GPPsat,43.9962965490995,0.773114336985939,70,0.628518522129993,LightGBM (Optuna)
Standing mortality / deadwood,24 months,NEPmax,45.3754576395162,0.677160244473868,70,0.64822082342166,LightGBM (Optuna)
Standing mortality / deadwood,24 months,WUE,48.8561311545246,0.792333176822905,70,0.697944730778923,LightGBM (Optuna)
Tree cover change,12 months,ETmax,27.6593328960695,0.645501819569225,30,0.921977763202317,LightGBM (Optuna)
Tree cover change,12 months,GPPsat,31.3142458934638,0.580575280677244,30,1.04380819644879,LightGBM (Optuna)
Tree cover change,12 months,NEPmax,26.4640613780383,0.47980913692235,30,0.882135379267944,LightGBM (Optuna)
Tree cover change,12 months,WUE,20.7367606689287,0.424730445227355,30,0.691225355630958,LightGBM (Optuna)
Tree cover change,24 months,ETmax,25.2971972141381,0.377634829134945,30,0.843239907137938,LightGBM (Optuna)
Tree cover change,24 months,GPPsat,25.3699975013325,0.512818043297225,30,0.845666583377751,LightGBM (Optuna)
Tree cover change,24 months,NEPmax,30.0962736424261,0.534290561141102,30,1.0032091214142,LightGBM (Optuna)
Tree cover change,24 months,WUE,17.5389332529388,0.459419431183497,30,0.584631108431292,LightGBM (Optuna)
