family,window,response,share,se,cc,n_vars,per_var,learner
new_mortality_rate_pct,24 months,ETmax,3.40111922684964,0.113780952913723,Standing mortality / deadwood,10,0.340111922684964,XGBoost (Optuna)
new_mortality_rate_pct,24 months,GPPsat,2.79379702392387,0.0585057414444398,Standing mortality / deadwood,10,0.279379702392387,XGBoost (Optuna)
new_mortality_rate_pct,24 months,NEPmax,0.45994879599989,0.0179468191752209,Standing mortality / deadwood,10,0.045994879599989,XGBoost (Optuna)
new_mortality_rate_pct,24 months,WUE,2.37478824356765,0.0654830254430763,Standing mortality / deadwood,10,0.237478824356765,XGBoost (Optuna)
new_mortality_rate_pct_thresh,12 months,ETmax,9.08033609935747,0.267588963294825,Standing mortality / deadwood,10,0.908033609935747,XGBoost (Optuna)
new_mortality_rate_pct_thresh,12 months,GPPsat,1.05932492789562,0.0464187428081552,Standing mortality / deadwood,10,0.105932492789562,XGBoost (Optuna)
new_mortality_rate_pct_thresh,12 months,NEPmax,1.23193672351684,0.0475824207471117,Standing mortality / deadwood,10,0.123193672351684,XGBoost (Optuna)
new_mortality_rate_pct_thresh,12 months,WUE,3.80643605316488,0.139417790467952,Standing mortality / deadwood,10,0.380643605316488,XGBoost (Optuna)
new_mortality_rate_pct_thresh,24 months,ETmax,4.78763330363973,0.183044065304885,Standing mortality / deadwood,10,0.478763330363973,XGBoost (Optuna)
new_mortality_rate_pct_thresh,24 months,GPPsat,2.99059605867682,0.115928420357917,Standing mortality / deadwood,10,0.299059605867682,XGBoost (Optuna)
new_mortality_rate_pct_thresh,24 months,NEPmax,0,0,Standing mortality / deadwood,10,0,XGBoost (Optuna)
new_mortality_rate_pct_thresh,24 months,WUE,2.20152051239712,0.0694759342433423,Standing mortality / deadwood,10,0.220152051239712,XGBoost (Optuna)
relative_disturbance,12 months,ETmax,9.91808533236628,0.232838951169197,Combined index (rho = 0.97 with rel. mortality),10,0.991808533236628,XGBoost (Optuna)
relative_disturbance,12 months,GPPsat,29.8386646986371,0.554282597607852,Combined index (rho = 0.97 with rel. mortality),10,2.98386646986371,XGBoost (Optuna)
relative_disturbance,12 months,NEPmax,32.6416810208296,0.885094772975856,Combined index (rho = 0.97 with rel. mortality),10,3.26416810208296,XGBoost (Optuna)
relative_disturbance,12 months,WUE,30.9565591474214,0.636407572472447,Combined index (rho = 0.97 with rel. mortality),10,3.09565591474214,XGBoost (Optuna)
relative_disturbance,24 months,ETmax,16.1584338361648,0.484836335271288,Combined index (rho = 0.97 with rel. mortality),10,1.61584338361648,XGBoost (Optuna)
relative_disturbance,24 months,GPPsat,24.1301489864052,0.554157068133482,Combined index (rho = 0.97 with rel. mortality),10,2.41301489864052,XGBoost (Optuna)
