window,response,rho,p,n,q,lab
12 months,GPPsat,-0.305385938149069,0.00291407917485879,93,0.00777087779962343,"rho=-0.31**
n=93"
12 months,NEPmax,-0.305878315623549,0.00286650906537964,93,0.00777087779962343,"rho=-0.31**
n=93"
12 months,ETmax,-0.0326088172871524,0.756334741944841,93,0.756334741944841,"rho=-0.03 ns
n=93"
12 months,WUE,-0.28813780601274,0.00509792743271556,93,0.00995007944033203,"rho=-0.29**
n=93"
24 months,GPPsat,-0.281632455137792,0.00624138212459047,93,0.00995007944033203,"rho=-0.28**
n=93"
24 months,NEPmax,-0.353834217378006,0.000502579540681873,93,0.00402063632545498,"rho=-0.35**
n=93"
24 months,ETmax,-0.168736268451341,0.105912421318133,93,0.121042767220724,"rho=-0.17 ns
n=93"
24 months,WUE,-0.275761226767856,0.00746255958024902,93,0.00995007944033203,"rho=-0.28**
n=93"
