window,response,n,r2_intensity_only,r2_full,morans_partial_coef,morans_partial_p,nested_F_p,morans_partial_q,nested_F_q,sig
12m,GPPsat,93,1.53720268416231e-06,0.0554166600536152,-8.75873395184494,0.0238900901171593,0.0238900901171594,0.039303380718274,0.039303380718274,*
12m,NEPmax,93,2.65167555232856e-05,0.0697734990597019,-11.1301755328559,0.0109634784884611,0.0109634784884612,0.039303380718274,0.039303380718274,*
12m,ETmax,93,0.000700454743443298,0.00221427439095871,-0.00272845991310341,0.712607096391635,0.712607096391629,0.712607096391635,0.712607096391629,ns
12m,WUE,93,0.000480185788783158,0.0548018776898988,-1.37215878393722,0.0253252785027728,0.0253252785027728,0.039303380718274,0.039303380718274,*
24m,GPPsat,93,0.000226115103724113,0.0517900952445432,-8.97296240260949,0.0294775355387055,0.0294775355387055,0.039303380718274,0.039303380718274,*
24m,NEPmax,93,0.00165194170006876,0.0892009541241158,-9.53737974444703,0.004155099038596,0.004155099038596,0.033240792308768,0.033240792308768,*
24m,ETmax,93,0.0514724892519922,0.075004593156334,-0.00619141461920735,0.133745519984659,0.133745519984659,0.15285202283961,0.15285202283961,ns
24m,WUE,93,0.000924236171292078,0.05491821366692,-1.3733596129834,0.025749680238505,0.0257496802385048,0.039303380718274,0.039303380718274,*
