trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.90660668,12,0.0808516173961497,750,0.4516512254243489
1,0.88113542,24,0.1424985946326513,1250,0.7020328806477081
2,0.80466017,14,0.6546340296555946,250,0.8911129645862518
3,0.81162667,21,0.5813952899300083,1000,0.7928126360996952
4,0.80133066,1,0.7565620554109259,1000,0.44820193185993296
5,0.80390494,29,0.7803277186694402,750,0.5934051971982945
6,0.80851514,28,0.6944995757447118,1000,0.5898028356940852
7,0.91058594,22,0.07691032696236794,750,0.4313905687424435
8,0.79583560,21,0.9478902347640458,1500,0.6098497996117793
9,0.79599496,8,0.9859480294731596,1000,0.8124850311102583
10,0.79866496,16,0.789384532152364,500,0.5439624390372036
11,0.80747748,24,0.6654350355076065,1250,0.628544317541073
12,0.79657141,11,0.9739143402231533,500,0.8580930600468697
13,0.80524744,15,0.6580526044030403,1500,0.6266957721280999
14,0.83223115,22,0.3839516709672569,1500,0.6651954373714345
15,0.79534096,2,0.9702456774146296,250,0.9774486919233507
16,0.79527041,15,0.8707861451771765,250,0.5536791549455037
17,0.79962995,7,0.9627169699015823,1500,0.9892660140901481
18,0.79999142,8,0.9708764031009863,1500,0.9907810891635178
19,0.79548209,7,0.9741709266490932,250,0.7313133596185633
20,0.79565759,4,0.9723932906600788,250,0.7457202954212199
21,0.79929206,18,0.8789760519962352,250,0.966860134019127
22,0.79716347,1,0.8709083251949731,250,0.9800104845388102
23,0.80029928,1,0.8647916769776096,250,0.9984752070927773
24,0.81459870,3,0.5061985213563713,500,0.9983650666969905
25,0.82712314,2,0.4220885017419287,500,0.5157223450068511
26,0.79736733,7,0.8613698610727746,250,0.9378002629299763
27,0.80070506,6,0.864379686077714,500,0.7306658880412733
28,0.79940873,6,0.8476921075508285,500,0.8896909359919584
29,0.79949364,7,0.8677554060583511,500,0.9108158243296032
30,0.79509593,8,0.9008084074004232,500,0.7338807299656626
31,0.79521155,10,0.9086701843213925,250,0.5107209139375142
32,0.79614082,12,0.7808439597537135,500,0.5038924094418308
33,0.79700344,10,0.7495568233106287,250,0.513467162462724
34,0.80104513,11,0.7431241273402628,750,0.5001194102535286
35,0.80086865,11,0.7428821386214529,750,0.5184374472098817
36,0.79655022,12,0.9289323786509681,750,0.40326664269112744
37,0.79565873,13,0.9189152361363119,250,0.4781317361870612
38,0.87206427,9,0.16989921510028988,750,0.6779756360105842
39,0.79278016,9,0.9275341419879163,250,0.41032034146787394
40,0.87822881,9,0.16956140557509686,250,0.5603881620355935
41,0.80029844,17,0.8125676652867653,250,0.5593523491193761
42,0.79257023,17,0.91435014909182,250,0.6726599278025491
43,0.79858283,16,0.8177414729954575,250,0.6611695985384374
44,0.80185958,17,0.8112057483739917,250,0.7898256589572681
45,0.80136715,18,0.8135915357233595,500,0.4594555935204731
46,0.80022511,18,0.8144380958862739,250,0.45265249375060035
47,0.79333588,5,0.9226020442090895,250,0.4578098055286063
48,0.79733986,14,0.9148448530977693,500,0.40640530760601556
49,0.79883895,4,0.9135588469575195,500,0.40222315070455683
