model,response,R2_base,RMSE_base,R2_e1,RMSE_e1,R2_e2,RMSE_e2,dataset,mem
M5_raw_24m,GPPsat,0.399234909878814,6.75042297846044,0.686779011042198,4.87420813815101,0.69433458843801,4.81506097428768,High tree cover (93),raw
M5_raw_24m,NEPmax,0.431113498408183,6.56452575976203,0.728981672917549,4.53095628860412,0.73084834649488,4.51532555539715,High tree cover (93),raw
M5_raw_24m,WUE,0.363420971636857,0.860942592966687,0.653669161958594,0.635029078382989,0.661015878993772,0.628257537905951,High tree cover (93),raw
M5_raw_24m,uWUE,0.3305338625385,0.81541840778418,0.640809430926832,0.597280954442164,0.646882513437378,0.592210108620978,High tree cover (93),raw
M6_anom_12m,ETmax,0.356516486172766,0.0526186316317849,0.359991109269419,0.0524763767142265,0.356516486172766,0.0526186316317849,High tree cover (93),anom
M6_anom_12m,GPPsat,0.357790579016668,6.9793821491861,0.345405162989129,7.04636166159261,0.357790579016668,6.9793821491861,High tree cover (93),anom
M6_anom_12m,NEPmax,0.42312408595367,6.61046097338217,0.424328600568275,6.6035560590272,0.42312408595367,6.61046097338217,High tree cover (93),anom
M6_anom_12m,WUE,0.285569880573167,0.912069448071312,0.319663132452967,0.890041042018818,0.285569880573167,0.912069448071312,High tree cover (93),anom
M6_anom_12m,uWUE,0.197488738773862,0.892774488562209,0.204180150895114,0.889044679842608,0.197488738773862,0.892774488562209,High tree cover (93),anom
M6_anom_24m,ETmax,0.36947375485121,0.0520861697260743,0.364966393913071,0.052272009008827,0.36947375485121,0.0520861697260743,High tree cover (93),anom
M6_anom_24m,GPPsat,0.336233208994637,7.09555551726638,0.336261389626879,7.09540489255476,0.336233208994637,7.09555551726638,High tree cover (93),anom
M6_anom_24m,NEPmax,0.400272959034505,6.74011579700456,0.42592758055194,6.59437869127407,0.400272959034505,6.74011579700456,High tree cover (93),anom
M6_anom_24m,WUE,0.270612630155826,0.921567498576283,0.293644769266902,0.906900441365313,0.270612630155826,0.921567498576283,High tree cover (93),anom
M6_anom_24m,uWUE,0.193091917079275,0.895216827068755,0.191736424026227,0.895968431267766,0.193091917079275,0.895216827068755,High tree cover (93),anom
M6_raw_12m,ETmax,0.472518964434076,0.0476402753156867,0.670179180937826,0.0376712360670539,0.668861676625906,0.0377464019552386,High tree cover (93),raw
M6_raw_12m,GPPsat,0.490867618006029,6.21432556926317,0.684704076179207,4.89032610356406,0.698070883973975,4.78554208641003,High tree cover (93),raw
